s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,22496,0.7986666776202475,1.0,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 15>,0.9838082901554404,0.0,1519,0.7218002730910577,1.0,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 59>,0.0161917098445595,0.0,25,0.7218002730910577,1.0,1
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 15>,0.8125,0.0,26,0.6480446106579425,0.9640275800758169,0
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 59>,0.1875,0.0,6,0.6480446106579425,0.9640275800758169,0
<A_Accepted | 36>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,14794,0.7215900062997855,1.0,1
<A_Accepted | 36>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 59>,1.0,0.0,2,0.007087263067033839,0.12435300177159625,0
<A_Accepted | 36>,W_Completeapplication,<W_Completeapplication | 59>,1.0,0.0,4,0.11225040861349053,0.24491866240370908,0
<A_Accepted | 36>,W_Shortenedcompletion,<W_Shortenedcompletion | 59>,1.0,0.0,4,0.04328468122092135,0.24491866240370908,0
<A_Accepted | 84>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,1,0.045040743858762236,0.062418746747512466,1
<A_Accepted | 8>,O_CreateOffer,<O_CreateOffer | 17>,1.0,0.0,6114,0.7994619070983975,1.0,1
<A_Accepted | 8>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 17>,1.0,0.0,1,0.00019442086001668796,0.062418746747512466,0
<A_Cancelled | 10>,END,<END | 10>,1.0,0.0427817388124702,2,0.005320037642339075,0.12435300177159625,0
<A_Cancelled | 10>,O_Cancelled,<O_Cancelled | 10>,1.0,0.0,28,0.07204053724336155,0.9413755384972874,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 12>,0.7058823529411765,0.0,12,0.07997753677278659,0.7866188121086977,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 33>,0.0588235294117647,0.0,1,0.07997753677278659,0.7866188121086977,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 45>,0.1764705882352941,0.0,3,0.07997753677278659,0.7866188121086977,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 62>,0.0588235294117647,0.0,1,0.07997753677278659,0.7866188121086977,1
<A_Cancelled | 13>,O_Cancelled,<O_Cancelled | 13>,1.0,0.0,15,0.08241954480226989,0.7340715196043415,1
<A_Cancelled | 18>,END,<END | 18>,0.25,0.0410873162110449,1,0.0033515557898127985,0.24491866240370908,0
<A_Cancelled | 18>,END,<END | 62>,0.75,0.0045500447621711,3,0.0033515557898127985,0.24491866240370908,0
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 18>,0.4,0.0,2,0.023692032505541367,0.3027097293321085,1
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 62>,0.6,0.0,3,0.023692032505541367,0.3027097293321085,1
<A_Cancelled | 19>,END,<END | 24>,1.0,0.0140098271870341,1,0.0008744758551638965,0.062418746747512466,1
<A_Cancelled | 19>,O_Cancelled,<O_Cancelled | 19>,1.0,0.0,2,0.0002166433310624766,0.12435300177159625,0
<A_Cancelled | 1>,O_Cancelled,<O_Cancelled | 1>,1.0,0.0,3,0.0001562867347049999,0.18533319990813957,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 34>,0.9906542056074766,0.0,106,0.2904528579093715,0.9999968930044908,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 82>,0.0093457943925233,0.0,1,0.2904528579093715,0.9999968930044908,1
<A_Cancelled | 26>,O_Cancelled,<O_Cancelled | 26>,1.0,0.0,12,0.03511056404678749,0.6351489523872873,1
<A_Cancelled | 28>,O_Cancelled,<O_Cancelled | 28>,1.0,0.0,91,0.05598750971451916,0.9999770424637459,1
<A_Cancelled | 2>,END,<END | 24>,1.0,0.0140098271870341,31,0.013440121673761372,0.9593352933146825,0
<A_Cancelled | 2>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,3322,0.2908183437300647,1.0,1
<A_Cancelled | 33>,END,<END | 62>,1.0,0.0045500447621711,1,0.0002840080916998035,0.062418746747512466,0
<A_Cancelled | 33>,O_Cancelled,<O_Cancelled | 33>,1.0,0.0,8,0.02210808163938461,0.4621171572600098,1
<A_Cancelled | 3>,END,<END | 3>,1.0,0.0427978770460862,5,0.012955333776609613,0.3027097293321085,0
<A_Cancelled | 3>,O_Cancelled,<O_Cancelled | 3>,1.0,0.0,30,0.6856895760574199,0.9540452601799487,1
<A_Cancelled | 41>,END,<END | 62>,1.0,0.0045500447621711,8,0.0021026537509003062,0.4621171572600098,0
<A_Cancelled | 41>,O_Cancelled,<O_Cancelled | 41>,1.0,0.0,51,0.20607620554043657,0.9965985551771295,1
<A_Cancelled | 45>,END,<END | 62>,1.0,0.0045500447621711,2,0.000565811724371105,0.12435300177159625,0
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 45>,0.8571428571428571,0.0,30,0.13470166968406166,0.9751366982936284,1
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 62>,0.1428571428571428,0.0,5,0.13470166968406166,0.9751366982936284,1
<A_Cancelled | 46>,END,<END | 46>,1.0,0.0263238087787928,1,0.0016430991535934132,0.062418746747512466,0
<A_Cancelled | 46>,O_Cancelled,<O_Cancelled | 46>,1.0,0.0,14,0.20629080603101818,0.7039056039366209,1
<A_Cancelled | 47>,O_Cancelled,<O_Cancelled | 47>,1.0,0.0,30,0.21400063517874723,0.9540452601799487,1
<A_Cancelled | 48>,END,<END | 62>,1.0,0.0045500447621711,11,0.002713526372405683,0.5963735554792424,0
<A_Cancelled | 48>,O_Cancelled,<O_Cancelled | 62>,1.0,0.0,31,0.061690685612407044,0.9593352933146825,1
<A_Cancelled | 49>,O_Cancelled,<O_Cancelled | 49>,1.0,0.0,48,0.08841469601519572,0.9950547536867305,1
<A_Cancelled | 4>,O_Cancelled,<O_Cancelled | 4>,1.0,0.0,3,0.0017926331940459437,0.18533319990813957,1
<A_Cancelled | 50>,O_Cancelled,<O_Cancelled | 46>,0.5384615384615384,0.0,7,0.1489817037482991,0.6709670742068736,1
<A_Cancelled | 50>,O_Cancelled,<O_Cancelled | 50>,0.4615384615384615,0.0,6,0.1489817037482991,0.6709670742068736,1
<A_Cancelled | 52>,END,<END | 62>,1.0,0.0045500447621711,3,0.0008432743554984399,0.18533319990813957,0
<A_Cancelled | 52>,O_Cancelled,<O_Cancelled | 52>,0.1666666666666666,0.0,1,0.022569685630021565,0.35835739835078606,1
<A_Cancelled | 52>,O_Cancelled,<O_Cancelled | 62>,0.8333333333333334,0.0,5,0.022569685630021565,0.35835739835078606,1
<A_Cancelled | 5>,O_Cancelled,<O_Cancelled | 5>,1.0,0.0,9,0.12567592461545335,0.5098299737352565,1
<A_Cancelled | 61>,O_Cancelled,<O_Cancelled | 61>,0.9285714285714286,0.0,13,0.055314201073731716,0.7039056039366209,1
<A_Cancelled | 61>,O_Cancelled,<O_Cancelled | 62>,0.0714285714285714,0.0,1,0.055314201073731716,0.7039056039366209,1
<A_Cancelled | 63>,O_Cancelled,<O_Cancelled | 63>,1.0,0.0,28,0.05270648211760162,0.9413755384972874,1
<A_Cancelled | 64>,O_Cancelled,<O_Cancelled | 64>,1.0,0.0,2,0.0047974145599923405,0.12435300177159625,1
<A_Cancelled | 68>,O_Cancelled,<O_Cancelled | 68>,1.0,0.0,5,0.003124669505524136,0.3027097293321085,1
<A_Cancelled | 70>,END,<END | 70>,1.0,0.042791512708618,2,0.005321253055664058,0.12435300177159625,0
<A_Cancelled | 70>,O_Cancelled,<O_Cancelled | 70>,1.0,0.0,11,0.39878041408081666,0.5963735554792424,1
<A_Cancelled | 71>,END,<END | 24>,1.0,0.0140098271870341,15,0.010284215132580338,0.7340715196043415,0
<A_Cancelled | 71>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,1103,0.2908183437300647,1.0,1
<A_Cancelled | 72>,O_Cancelled,<O_Cancelled | 46>,0.0478260869565217,0.0,11,0.3510220076261488,0.9999999999993467,1
<A_Cancelled | 72>,O_Cancelled,<O_Cancelled | 72>,0.9521739130434784,0.0,219,0.3510220076261488,0.9999999999993467,1
<A_Cancelled | 73>,O_Cancelled,<O_Cancelled | 73>,1.0,0.0,3,0.009229065267336344,0.18533319990813957,1
<A_Cancelled | 75>,END,<END | 75>,1.0,0.0423837334405656,1,0.002645539523840739,0.062418746747512466,0
<A_Cancelled | 75>,O_Cancelled,<O_Cancelled | 75>,1.0,0.0,14,0.017500967400791018,0.7039056039366209,1
<A_Cancelled | 76>,O_Cancelled,<O_Cancelled | 76>,1.0,0.0,15,0.035673236701794266,0.7340715196043415,1
<A_Cancelled | 7>,END,<END | 38>,0.8666666666666667,0.0236232151684553,13,0.017605453304031543,0.7340715196043415,0
<A_Cancelled | 7>,END,<END | 46>,0.1333333333333333,0.0263238087787928,2,0.017605453304031543,0.7340715196043415,0
<A_Cancelled | 7>,O_Cancelled,<O_Cancelled | 38>,0.8652173913043478,0.0,199,0.29286710259574944,0.9999999999993467,1
<A_Cancelled | 7>,O_Cancelled,<O_Cancelled | 46>,0.1347826086956521,0.0,31,0.29286710259574944,0.9999999999993467,1
<A_Cancelled | 80>,O_Cancelled,<O_Cancelled | 80>,1.0,0.0,1,0.00016388553010295137,0.062418746747512466,1
<A_Cancelled | 82>,END,<END | 46>,1.0,0.0263238087787928,1,0.0016430991535934132,0.062418746747512466,0
<A_Cancelled | 82>,O_Cancelled,<O_Cancelled | 46>,0.1428571428571428,0.0,2,0.18139783568822096,0.7039056039366209,1
