s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,22496,0.7780818010115118,1,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 15>,0.9838082901554404,0.0,1519,0.6636900973649478,1,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 59>,0.0161917098445595,0.0,25,0.6636900973649478,1,1
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 15>,0.8125,0.0,26,0.6636850448399019,1,0
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 59>,0.1875,0.0,6,0.6636850448399019,1,0
<A_Accepted | 36>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,14794,0.6636850520868578,1,1
<A_Accepted | 36>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 59>,1.0,0.0,2,0.0,0,0
<A_Accepted | 36>,W_Completeapplication,<W_Completeapplication | 59>,1.0,0.0,4,0.0,0,0
<A_Accepted | 36>,W_Shortenedcompletion,<W_Shortenedcompletion | 59>,1.0,0.0,4,0.0,0,0
<A_Accepted | 84>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,1,0.0,0,1
<A_Accepted | 8>,O_CreateOffer,<O_CreateOffer | 17>,1.0,0.0,6114,0.7792617688394692,1,1
<A_Accepted | 8>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 17>,1.0,0.0,1,0.0,0,0
<A_Cancelled | 10>,END,<END | 10>,1.0,0.0427817388124702,2,0.0,0,0
<A_Cancelled | 10>,O_Cancelled,<O_Cancelled | 10>,1.0,0.0,28,0.0427817388124702,1,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 12>,0.7058823529411765,0.0,12,0.043681154044343085,1,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 33>,0.0588235294117647,0.0,1,0.043681154044343085,1,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 45>,0.1764705882352941,0.0,3,0.043681154044343085,1,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 62>,0.0588235294117647,0.0,1,0.043681154044343085,1,1
<A_Cancelled | 13>,O_Cancelled,<O_Cancelled | 13>,1.0,0.0,15,0.03625317742841442,1,1
<A_Cancelled | 18>,END,<END | 18>,0.25,0.0410873162110449,1,0.0,0,1
