s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,10469,0.23289615582681408,1.0,1
<A_ACCEPTED | 0>,A_DECLINED,<A_DECLINED | 48>,1.0,0.0,10,0.0006966924226356109,0.0906594777770402,0
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 124>,0.0010162601626016,0.0,1,0.23956898625550113,0.9999999660291125,1
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 48>,0.9989837398373984,0.0,983,0.23956898625550113,0.9999999660291125,1
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.1428571428571428,0.0,2,0.006240345867685713,0.12658994828359837,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.0714285714285714,0.0,1,0.006240345867685713,0.12658994828359837,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.7857142857142857,0.0,11,0.006240345867685713,0.12658994828359837,0
<A_ACCEPTED | 131>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,82,0.07477046465017166,0.6324293658862945,1
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,0.5,0.0,1,5.698603511426348e-05,0.018179814940573413,0
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.5,0.0,1,5.698603511426348e-05,0.018179814940573413,0
<A_ACCEPTED | 14>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,19,0.020220401168143397,0.1710297715624275,1
<A_ACCEPTED | 14>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,1.0,0.0,1,1.7926231421259195e-05,0.009090658660920847,0
<A_ACCEPTED | 37>,A_DECLINED,<A_DECLINED | 124>,1.0,0.0,1,6.746502038803898e-06,0.009090658660920847,0
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 124>,0.2208955223880597,0.0,74,0.21189996334462827,0.9954835215971449,1
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 48>,0.7791044776119403,0.0,261,0.21189996334462827,0.9954835215971449,1
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,0.1818181818181818,0.0,2,0.0039909338032705745,0.09966799462495579,0
