s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,22496,0.9098719608173883,1.0,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 15>,0.9838082901554404,0.0,1519,0.893785159083737,1.0,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 59>,0.0161917098445595,0.0,25,0.893785159083737,1.0,1
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 15>,0.8125,0.0,26,0.8929484209315569,0.9999997749296758,0
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 59>,0.1875,0.0,6,0.8929484209315569,0.9999997749296758,0
<A_Accepted | 36>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,14794,0.8937777501103734,1.0,1
<A_Accepted | 36>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 59>,1.0,0.0,2,0.18992428324183944,0.4621171572600098,0
<A_Accepted | 36>,W_Completeapplication,<W_Completeapplication | 59>,1.0,0.0,4,0.6773295411558429,0.7615941559557649,0
<A_Accepted | 36>,W_Shortenedcompletion,<W_Shortenedcompletion | 59>,1.0,0.0,4,0.5184139046512137,0.7615941559557649,0
<A_Accepted | 84>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,1,0.2189028510432292,0.24491866240370908,1
<A_Accepted | 8>,O_CreateOffer,<O_CreateOffer | 17>,1.0,0.0,6114,0.910038617696809,1.0,1
<A_Accepted | 8>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 17>,1.0,0.0,1,0.013369813162486609,0.24491866240370908,0
<A_Cancelled | 10>,END,<END | 10>,1.0,0.0427817388124702,2,0.019770175522658955,0.4621171572600098,0
<A_Cancelled | 10>,O_Cancelled,<O_Cancelled | 10>,1.0,0.0,28,0.4148361082246872,0.9999983369439447,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 12>,0.7058823529411765,0.0,12,0.4243809344944773,0.9995931460438896,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 33>,0.0588235294117647,0.0,1,0.4243809344944773,0.9995931460438896,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 45>,0.1764705882352941,0.0,3,0.4243809344944773,0.9995931460438896,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 62>,0.0588235294117647,0.0,1,0.4243809344944773,0.9995931460438896,1
<A_Cancelled | 13>,O_Cancelled,<O_Cancelled | 13>,1.0,0.0,15,0.42813370880548574,0.9988944427261528,1
<A_Cancelled | 18>,END,<END | 18>,0.25,0.0410873162110449,1,0.010421930602714576,0.7615941559557649,0
<A_Cancelled | 18>,END,<END | 62>,0.75,0.0045500447621711,3,0.010421930602714576,0.7615941559557649,0
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 18>,0.4,0.0,2,0.33886968403686846,0.8482836399575129,1
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 62>,0.6,0.0,3,0.33886968403686846,0.8482836399575129,1
<A_Cancelled | 19>,END,<END | 24>,1.0,0.0140098271870341,1,0.00343126813515551,0.24491866240370908,1
<A_Cancelled | 19>,O_Cancelled,<O_Cancelled | 19>,1.0,0.0,2,0.0029918303565467166,0.4621171572600098,0
<A_Cancelled | 1>,O_Cancelled,<O_Cancelled | 1>,1.0,0.0,3,0.0018355526300150157,0.6351489523872873,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 34>,0.9906542056074766,0.0,106,0.8057137327090851,1.0,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 82>,0.0093457943925233,0.0,1,0.8057137327090851,1.0,1
<A_Cancelled | 26>,O_Cancelled,<O_Cancelled | 26>,1.0,0.0,12,0.22360826997057495,0.9950547536867305,1
<A_Cancelled | 28>,O_Cancelled,<O_Cancelled | 28>,1.0,0.0,91,0.22611647635914903,1.0,1
<A_Cancelled | 2>,END,<END | 24>,1.0,0.0140098271870341,31,0.014009821988292594,0.9999996289217963,0
<A_Cancelled | 2>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,3322,0.8056625849538617,1.0,1
<A_Cancelled | 33>,END,<END | 62>,1.0,0.0045500447621711,1,0.0011143908770279484,0.24491866240370908,0
<A_Cancelled | 33>,O_Cancelled,<O_Cancelled | 33>,1.0,0.0,8,0.38165571375017493,0.9640275800758169,1
<A_Cancelled | 3>,END,<END | 3>,1.0,0.0427978770460862,5,0.03630473892310809,0.8482836399575129,0
<A_Cancelled | 3>,O_Cancelled,<O_Cancelled | 3>,1.0,0.0,30,0.8912110517023428,0.9999993881955461,1
<A_Cancelled | 41>,END,<END | 62>,1.0,0.0045500447621711,8,0.004386368641312452,0.9640275800758169,0
<A_Cancelled | 41>,O_Cancelled,<O_Cancelled | 41>,1.0,0.0,51,0.7054942254285945,0.999999999983153,1
<A_Cancelled | 45>,END,<END | 62>,1.0,0.0045500447621711,2,0.0021026537509003062,0.4621171572600098,0
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 45>,0.8571428571428571,0.0,30,0.5283460342623724,0.9999999497800182,1
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 62>,0.1428571428571428,0.0,5,0.5283460342623724,0.9999999497800182,1
<A_Cancelled | 46>,END,<END | 46>,1.0,0.0263238087787928,1,0.0064471920354729475,0.24491866240370908,0
<A_Cancelled | 46>,O_Cancelled,<O_Cancelled | 46>,1.0,0.0,14,0.8098218958027218,0.9981778976111987,1
<A_Cancelled | 47>,O_Cancelled,<O_Cancelled | 47>,1.0,0.0,30,0.7304952703753601,0.9999993881955461,1
<A_Cancelled | 48>,END,<END | 62>,1.0,0.0045500447621711,11,0.004513006144580043,0.9918597245682077,0
<A_Cancelled | 48>,O_Cancelled,<O_Cancelled | 62>,1.0,0.0,31,0.39946127563624423,0.9999996289217963,1
<A_Cancelled | 49>,O_Cancelled,<O_Cancelled | 49>,1.0,0.0,48,0.4477617189798239,0.9999999999244973,1
<A_Cancelled | 4>,O_Cancelled,<O_Cancelled | 4>,1.0,0.0,3,0.11062602014824247,0.6351489523872873,1
<A_Cancelled | 50>,O_Cancelled,<O_Cancelled | 46>,0.5384615384615384,0.0,7,0.8067240318712701,0.996997635486526,1
<A_Cancelled | 50>,O_Cancelled,<O_Cancelled | 50>,0.4615384615384615,0.0,6,0.8067240318712701,0.996997635486526,1
<A_Cancelled | 52>,END,<END | 62>,1.0,0.0045500447621711,3,0.002889956164008238,0.6351489523872873,0
<A_Cancelled | 52>,O_Cancelled,<O_Cancelled | 52>,0.1666666666666666,0.0,1,0.35475986399183873,0.9051482536448664,1
<A_Cancelled | 52>,O_Cancelled,<O_Cancelled | 62>,0.8333333333333334,0.0,5,0.35475986399183873,0.9051482536448664,1
<A_Cancelled | 5>,O_Cancelled,<O_Cancelled | 5>,1.0,0.0,9,0.7573533645187048,0.9780261147388136,1
<A_Cancelled | 61>,O_Cancelled,<O_Cancelled | 61>,0.9285714285714286,0.0,13,0.44685385538765565,0.9981778976111987,1
<A_Cancelled | 61>,O_Cancelled,<O_Cancelled | 62>,0.0714285714285714,0.0,1,0.44685385538765565,0.9981778976111987,1
<A_Cancelled | 63>,O_Cancelled,<O_Cancelled | 63>,1.0,0.0,28,0.2261161003147738,0.9999983369439447,1
<A_Cancelled | 64>,O_Cancelled,<O_Cancelled | 64>,1.0,0.0,2,0.20138854176740542,0.4621171572600098,1
<A_Cancelled | 68>,O_Cancelled,<O_Cancelled | 68>,1.0,0.0,5,0.23387639982637237,0.8482836399575129,1
<A_Cancelled | 70>,END,<END | 70>,1.0,0.042791512708618,2,0.019774692207762134,0.4621171572600098,0
<A_Cancelled | 70>,O_Cancelled,<O_Cancelled | 70>,1.0,0.0,11,0.8834855238263051,0.9918597245682077,1
<A_Cancelled | 71>,END,<END | 24>,1.0,0.0140098271870341,15,0.013994338520682133,0.9988944427261528,0
<A_Cancelled | 71>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,1103,0.8056625849538617,1.0,1
<A_Cancelled | 72>,O_Cancelled,<O_Cancelled | 46>,0.0478260869565217,0.0,11,0.841146298444015,1.0,1
<A_Cancelled | 72>,O_Cancelled,<O_Cancelled | 72>,0.9521739130434784,0.0,219,0.841146298444015,1.0,1
<A_Cancelled | 73>,O_Cancelled,<O_Cancelled | 73>,1.0,0.0,3,0.19324823645482525,0.6351489523872873,1
<A_Cancelled | 75>,END,<END | 75>,1.0,0.0423837334405656,1,0.010380567301938681,0.24491866240370908,0
<A_Cancelled | 75>,O_Cancelled,<O_Cancelled | 75>,1.0,0.0,14,0.22462731346918433,0.9981778976111987,1
<A_Cancelled | 76>,O_Cancelled,<O_Cancelled | 76>,1.0,0.0,15,0.39593408258428514,0.9988944427261528,1
<A_Cancelled | 7>,END,<END | 38>,0.8666666666666667,0.0236232151684553,13,0.023956779411017877,0.9988944427261528,0
<A_Cancelled | 7>,END,<END | 46>,0.1333333333333333,0.0263238087787928,2,0.023956779411017877,0.9988944427261528,0
<A_Cancelled | 7>,O_Cancelled,<O_Cancelled | 38>,0.8652173913043478,0.0,199,0.811299340240713,1.0,1
<A_Cancelled | 7>,O_Cancelled,<O_Cancelled | 46>,0.1347826086956521,0.0,31,0.811299340240713,1.0,1
<A_Cancelled | 80>,O_Cancelled,<O_Cancelled | 80>,1.0,0.0,1,0.0025232151225871285,0.24491866240370908,1
<A_Cancelled | 82>,END,<END | 46>,1.0,0.0263238087787928,1,0.0064471920354729475,0.24491866240370908,0
<A_Cancelled | 82>,O_Cancelled,<O_Cancelled | 46>,0.1428571428571428,0.0,2,0.8096809191338206,0.9981778976111987,1
<A_Cancelled | 82>,O_Cancelled,<O_Cancelled | 82>,0.8571428571428571,0.0,12,0.8096809191338206,0.9981778976111987,1
<A_Cancelled | 83>,END,<END | 83>,1.0,0.0428039353309419,2,0.01978043291467617,0.4621171572600098,0
<A_Cancelled | 83>,O_Cancelled,<O_Cancelled | 83>,1.0,0.0,23,0.8974812698555834,0.9999797400180382,1
<A_Cancelled | 87>,O_Cancelled,<O_Cancelled | 87>,1.0,0.0,4,0.6697537949254365,0.7615941559557649,1
