s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,22496,0.9596286402256585,1,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 15>,0.9838082901554404,0.0,1519,0.9542515344588345,1,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 59>,0.0161917098445595,0.0,25,0.9542515344588345,1,1
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 15>,0.8125,0.0,26,0.9542503432474726,1,0
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 59>,0.1875,0.0,6,0.9542503432474726,1,0
<A_Accepted | 36>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,14794,0.9542508117925473,1,1
<A_Accepted | 36>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 59>,1.0,0.0,2,0.9542498679273779,1,0
<A_Accepted | 36>,W_Completeapplication,<W_Completeapplication | 59>,1.0,0.0,4,0.9542503432474726,1,0
<A_Accepted | 36>,W_Shortenedcompletion,<W_Shortenedcompletion | 59>,1.0,0.0,4,0.9542503432474726,1,0
<A_Accepted | 84>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,1,0.9542508117925473,1,1
<A_Accepted | 8>,O_CreateOffer,<O_CreateOffer | 17>,1.0,0.0,6114,0.9596302204289917,1,1
<A_Accepted | 8>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 17>,1.0,0.0,1,0.9596297087468795,1,0
<A_Cancelled | 10>,END,<END | 10>,1.0,0.0427817388124702,2,0.0427817388124702,1,0
<A_Cancelled | 10>,O_Cancelled,<O_Cancelled | 10>,1.0,0.0,28,0.999012392876682,1,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 12>,0.7058823529411765,0.0,12,0.91424133533506,1,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 33>,0.0588235294117647,0.0,1,0.91424133533506,1,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 45>,0.1764705882352941,0.0,3,0.91424133533506,1,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 62>,0.0588235294117647,0.0,1,0.91424133533506,1,1
<A_Cancelled | 13>,O_Cancelled,<O_Cancelled | 13>,1.0,0.0,15,0.9484534963129638,1,1
<A_Cancelled | 18>,END,<END | 18>,0.25,0.0410873162110449,1,0.01368436262438955,1,0
<A_Cancelled | 18>,END,<END | 62>,0.75,0.0045500447621711,3,0.01368436262438955,1,0
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 18>,0.4,0.0,2,0.8974274362400099,1,1
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 62>,0.6,0.0,3,0.8974274362400099,1,1
<A_Cancelled | 19>,END,<END | 24>,1.0,0.0140098271870341,1,0.0140098271870341,1,1
<A_Cancelled | 19>,O_Cancelled,<O_Cancelled | 19>,1.0,0.0,2,0.0140098271870341,1,1
<A_Cancelled | 1>,O_Cancelled,<O_Cancelled | 1>,1.0,0.0,3,0.0045500447621711,1,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 34>,0.9906542056074766,0.0,106,0.9361607868465819,1,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 82>,0.0093457943925233,0.0,1,0.9361607868465819,1,1
<A_Cancelled | 26>,O_Cancelled,<O_Cancelled | 26>,1.0,0.0,12,0.9535679641589824,1,1
<A_Cancelled | 28>,O_Cancelled,<O_Cancelled | 28>,1.0,0.0,91,0.9479106305505388,1,1
<A_Cancelled | 2>,END,<END | 24>,1.0,0.0140098271870341,31,0.0140098271870341,1,0
<A_Cancelled | 2>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,3322,0.936099173232741,1,1
<A_Cancelled | 33>,END,<END | 62>,1.0,0.0045500447621711,1,0.0045500447621711,1,0
<A_Cancelled | 33>,O_Cancelled,<O_Cancelled | 33>,1.0,0.0,8,0.8974247562924493,1,1
<A_Cancelled | 3>,END,<END | 3>,1.0,0.0427978770460862,5,0.0427978770460862,1,0
<A_Cancelled | 3>,O_Cancelled,<O_Cancelled | 3>,1.0,0.0,30,0.9532509622141204,1,1
<A_Cancelled | 41>,END,<END | 62>,1.0,0.0045500447621711,8,0.0045500447621711,1,0
<A_Cancelled | 41>,O_Cancelled,<O_Cancelled | 41>,1.0,0.0,51,0.9786201068177653,1,1
<A_Cancelled | 45>,END,<END | 62>,1.0,0.0045500447621711,2,0.0045500447621711,1,0
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 45>,0.8571428571428571,0.0,30,0.9417503977892026,1,1
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 62>,0.1428571428571428,0.0,5,0.9417503977892026,1,1
<A_Cancelled | 46>,END,<END | 46>,1.0,0.0263238087787928,1,0.0263238087787928,1,0
<A_Cancelled | 46>,O_Cancelled,<O_Cancelled | 46>,1.0,0.0,14,0.9426659144009897,1,1
<A_Cancelled | 47>,O_Cancelled,<O_Cancelled | 47>,1.0,0.0,30,0.9743840561755465,1,1
<A_Cancelled | 48>,END,<END | 62>,1.0,0.0045500447621711,11,0.0045500447621711,1,0
<A_Cancelled | 48>,O_Cancelled,<O_Cancelled | 62>,1.0,0.0,31,0.8973877034277745,1,1
<A_Cancelled | 49>,O_Cancelled,<O_Cancelled | 49>,1.0,0.0,48,0.9645295544818534,1,1
<A_Cancelled | 4>,O_Cancelled,<O_Cancelled | 4>,1.0,0.0,3,0.9229695497737254,1,1
<A_Cancelled | 50>,O_Cancelled,<O_Cancelled | 46>,0.5384615384615384,0.0,7,0.9426551498116845,1,1
<A_Cancelled | 50>,O_Cancelled,<O_Cancelled | 50>,0.4615384615384615,0.0,6,0.9426551498116845,1,1
<A_Cancelled | 52>,END,<END | 62>,1.0,0.0045500447621711,3,0.0045500447621711,1,0
<A_Cancelled | 52>,O_Cancelled,<O_Cancelled | 52>,0.1666666666666666,0.0,1,0.9058986689086393,1,1
<A_Cancelled | 52>,O_Cancelled,<O_Cancelled | 62>,0.8333333333333334,0.0,5,0.9058986689086393,1,1
<A_Cancelled | 5>,O_Cancelled,<O_Cancelled | 5>,1.0,0.0,9,0.9822360120751388,1,1
<A_Cancelled | 61>,O_Cancelled,<O_Cancelled | 61>,0.9285714285714286,0.0,13,0.9449413288196735,1,1
<A_Cancelled | 61>,O_Cancelled,<O_Cancelled | 62>,0.0714285714285714,0.0,1,0.9449413288196735,1,1
<A_Cancelled | 63>,O_Cancelled,<O_Cancelled | 63>,1.0,0.0,28,0.9479106305505388,1,1
<A_Cancelled | 64>,O_Cancelled,<O_Cancelled | 64>,1.0,0.0,2,0.9435312857761953,1,1
<A_Cancelled | 68>,O_Cancelled,<O_Cancelled | 68>,1.0,0.0,5,0.8974096776037408,1,1
<A_Cancelled | 70>,END,<END | 70>,1.0,0.042791512708618,2,0.042791512708618,1,0
<A_Cancelled | 70>,O_Cancelled,<O_Cancelled | 70>,1.0,0.0,11,0.9537970084529644,1,1
<A_Cancelled | 71>,END,<END | 24>,1.0,0.0140098271870341,15,0.0140098271870341,1,0
<A_Cancelled | 71>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,1103,0.936099173232741,1,1
<A_Cancelled | 72>,O_Cancelled,<O_Cancelled | 46>,0.0478260869565217,0.0,11,0.9426990357018624,1,1
<A_Cancelled | 72>,O_Cancelled,<O_Cancelled | 72>,0.9521739130434784,0.0,219,0.9426990357018624,1,1
<A_Cancelled | 73>,O_Cancelled,<O_Cancelled | 73>,1.0,0.0,3,0.8992040332152091,1,1
<A_Cancelled | 75>,END,<END | 75>,1.0,0.0423837334405656,1,0.0423837334405656,1,0
<A_Cancelled | 75>,O_Cancelled,<O_Cancelled | 75>,1.0,0.0,14,0.9484531170223912,1,1
<A_Cancelled | 76>,O_Cancelled,<O_Cancelled | 76>,1.0,0.0,15,0.9005769292991379,1,1
<A_Cancelled | 7>,END,<END | 38>,0.8666666666666667,0.0236232151684553,13,0.0239832943165003,1,0
<A_Cancelled | 7>,END,<END | 46>,0.1333333333333333,0.0263238087787928,2,0.0239832943165003,1,0
<A_Cancelled | 7>,O_Cancelled,<O_Cancelled | 38>,0.8652173913043478,0.0,199,0.9426640331139511,1,1
<A_Cancelled | 7>,O_Cancelled,<O_Cancelled | 46>,0.1347826086956521,0.0,31,0.9426640331139511,1,1
<A_Cancelled | 80>,O_Cancelled,<O_Cancelled | 80>,1.0,0.0,1,0.0420639953784998,1,1
<A_Cancelled | 82>,END,<END | 46>,1.0,0.0263238087787928,1,0.0263238087787928,1,0
<A_Cancelled | 82>,O_Cancelled,<O_Cancelled | 46>,0.1428571428571428,0.0,2,0.942688127697612,1,1
<A_Cancelled | 82>,O_Cancelled,<O_Cancelled | 82>,0.8571428571428571,0.0,12,0.942688127697612,1,1
<A_Cancelled | 83>,END,<END | 83>,1.0,0.0428039353309419,2,0.0428039353309419,1,0
<A_Cancelled | 83>,O_Cancelled,<O_Cancelled | 83>,1.0,0.0,23,0.9566452842367685,1,1
<A_Cancelled | 87>,O_Cancelled,<O_Cancelled | 87>,1.0,0.0,4,0.9484414876667736,1,1
<A_Cancelled | 88>,O_Cancelled,<O_Cancelled | 62>,0.0303030303030303,0.0,1,0.9129328343982099,1,1
<A_Cancelled | 88>,O_Cancelled,<O_Cancelled | 88>,0.9696969696969696,0.0,32,0.9129328343982099,1,1
<A_Cancelled | 90>,END,<END | 24>,1.0,0.0140098271870341,7,0.0140098271870341,1,0
<A_Cancelled | 90>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,784,0.936099173232741,1,1
<A_Cancelled | 93>,END,<END | 62>,1.0,0.0045500447621711,3,0.0045500447621711,1,0
<A_Cancelled | 93>,O_Cancelled,<O_Cancelled | 93>,1.0,0.0,200,0.9995194039213073,1,1
<A_Cancelled | 94>,O_Cancelled,<O_Cancelled | 34>,0.9872340425531916,0.0,1160,0.936183448033968,1,1
<A_Cancelled | 94>,O_Cancelled,<O_Cancelled | 72>,0.0127659574468085,0.0,15,0.936183448033968,1,1
<A_Cancelled | 96>,O_Cancelled,<O_Cancelled | 96>,1.0,0.0,3,0.9201177320283912,1,1
<A_Complete | 11>,A_Denied,<O_Refused | 71>,1.0,0.0,16,0.042796273380352,1,0
<A_Complete | 11>,O_Cancelled,<A_Cancelled | 71>,0.1948051948051948,0.0,15,0.9499755637295999,1,0
<A_Complete | 11>,O_Cancelled,<O_Cancelled | 71>,0.8051948051948052,0.0,62,0.9499755637295999,1,0
