s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,16000,0.21332132622362937,1.0,1
<A_ACCEPTED | 10>,A_FINALIZED,<A_FINALIZED | 106>,1.0,0.0,6301,0.2506270533223278,1.0,1
<A_ACCEPTED | 43>,A_FINALIZED,<A_FINALIZED | 43>,1.0,0.0,418,0.16047250829464452,0.8757287338271407,1
<A_ACTIVATED | 109>,END,<END | 19>,0.1288343558282208,0.652443601710321,63,0.5164204293392751,0.9197901375607926,1
<A_ACTIVATED | 109>,END,<END | 28>,0.5132924335378323,0.3832396062516149,251,0.5164204293392751,0.9197901375607926,1
<A_ACTIVATED | 109>,END,<END | 39>,0.081799591002045,0.290381654907542,40,0.5164204293392751,0.9197901375607926,1
<A_ACTIVATED | 109>,END,<END | 92>,0.2760736196319018,0.9306589534926536,135,0.5164204293392751,0.9197901375607926,1
<A_ACTIVATED | 12>,END,<END | 11>,0.5,0.5188323387178492,4,0.013839199562090305,0.025968186424121797,1
<A_ACTIVATED | 12>,END,<END | 12>,0.25,0.0940513132097066,2,0.013839199562090305,0.025968186424121797,1
<A_ACTIVATED | 12>,END,<END | 71>,0.25,0.9999999999999948,2,0.013839199562090305,0.025968186424121797,1
<A_ACTIVATED | 15>,END,<END | 11>,0.0287769784172661,0.5188323387178488,32,0.5575892450243866,0.9985386038095686,1
<A_ACTIVATED | 15>,END,<END | 19>,0.4334532374100719,0.6524436017103155,482,0.5575892450243866,0.9985386038095686,1
<A_ACTIVATED | 15>,END,<END | 39>,0.3875899280575539,0.2903816549075431,431,0.5575892450243866,0.9985386038095686,1
<A_ACTIVATED | 15>,END,<END | 71>,0.1205035971223021,0.9999999999999958,134,0.5575892450243866,0.9985386038095686,1
<A_ACTIVATED | 15>,END,<END | 92>,0.0296762589928057,0.930658953492656,33,0.5575892450243866,0.9985386038095686,1
<A_ACTIVATED | 16>,END,<END | 22>,0.7109826589595376,0.4506695477406681,123,0.21782480332647886,0.5092290162503352,1
<A_ACTIVATED | 16>,END,<END | 25>,0.2658959537572254,0.3459339780261885,46,0.21782480332647886,0.5092290162503352,1
<A_ACTIVATED | 16>,END,<END | 29>,0.0115606936416184,0.8329212139637513,2,0.21782480332647886,0.5092290162503352,1
<A_ACTIVATED | 16>,END,<END | 60>,0.0115606936416184,0.4951503985636025,2,0.21782480332647886,0.5092290162503352,1
<A_ACTIVATED | 31>,END,<END | 19>,0.0629921259842519,0.6524436017103206,32,0.504918609676184,0.9287684615088432,1
<A_ACTIVATED | 31>,END,<END | 28>,0.0216535433070866,0.3832396062516154,11,0.504918609676184,0.9287684615088432,1
<A_ACTIVATED | 31>,END,<END | 29>,0.0590551181102362,0.8329212139637509,30,0.504918609676184,0.9287684615088432,1
<A_ACTIVATED | 31>,END,<END | 39>,0.0590551181102362,0.2903816549075421,30,0.504918609676184,0.9287684615088432,1
<A_ACTIVATED | 31>,END,<END | 92>,0.2480314960629921,0.9306589534926536,126,0.504918609676184,0.9287684615088432,1
<A_ACTIVATED | 31>,END,<END | 97>,0.5492125984251969,0.3588343146234162,279,0.504918609676184,0.9287684615088432,1
<A_ACTIVATED | 50>,END,<END | 25>,0.4084967320261438,0.3459339780261891,125,0.40705065079195213,0.75885353484817,1
<A_ACTIVATED | 50>,END,<END | 29>,0.3790849673202614,0.8329212139637502,116,0.40705065079195213,0.75885353484817,1
<A_ACTIVATED | 50>,END,<END | 60>,0.022875816993464,0.4951503985636025,7,0.40705065079195213,0.75885353484817,1
<A_ACTIVATED | 50>,END,<END | 97>,0.1895424836601307,0.3588343146234172,58,0.40705065079195213,0.75885353484817,1
<A_ACTIVATED | 53>,END,<END | 11>,0.6097785977859779,0.5188323387178465,661,0.5973298696642715,0.9982474624475004,1
<A_ACTIVATED | 53>,END,<END | 19>,0.0092250922509225,0.6524436017103207,10,0.5973298696642715,0.9982474624475004,1
