s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,2000,0.4913678914418618,1,1
<A_ACCEPTED | 5>,A_FINALIZED,<A_FINALIZED | 86>,1.0,0.0,704,0.6175941199052832,1,1
<A_ACCEPTED | 89>,A_FINALIZED,<A_FINALIZED | 86>,0.7073170731707317,0.0,87,0.6175941199052832,1,1
<A_ACCEPTED | 89>,A_FINALIZED,<A_FINALIZED | 89>,0.2926829268292683,0.0,36,0.6175941199052832,1,1
<A_ACTIVATED | 19>,END,<END | 22>,0.2894736842105263,0.4533504238867632,11,0.6802750126683711,1,1
<A_ACTIVATED | 19>,END,<END | 6>,0.3947368421052631,0.9999999999999998,15,0.6802750126683711,1,1
<A_ACTIVATED | 19>,END,<END | 74>,0.3157894736842105,0.48863298488697593,12,0.6802750126683711,1,1
<A_ACTIVATED | 25>,END,<END | 12>,0.5620437956204379,0.3877084654541334,77,0.5934788308639791,1,1
<A_ACTIVATED | 25>,END,<END | 33>,0.3722627737226277,0.8737555685579708,51,0.5934788308639791,1,1
<A_ACTIVATED | 25>,END,<END | 75>,0.0656934306569343,0.7657237768822631,9,0.5934788308639791,1,1
<A_ACTIVATED | 40>,END,<END | 12>,0.0956521739130434,0.387708465454133,11,0.5481650798907621,1,1
<A_ACTIVATED | 40>,END,<END | 40>,0.2869565217391304,0.13356978511519801,33,0.5481650798907621,1,1
<A_ACTIVATED | 40>,END,<END | 75>,0.6173913043478261,0.7657237768822627,71,0.5481650798907621,1,1
<A_ACTIVATED | 58>,END,<END | 12>,0.0151515151515151,0.387708465454133,1,0.6531848695791445,1,1
<A_ACTIVATED | 58>,END,<END | 33>,0.2121212121212121,0.8737555685579701,14,0.6531848695791445,1,1
<A_ACTIVATED | 58>,END,<END | 58>,0.0151515151515151,0.09516107112563263,1,0.6531848695791445,1,1
<A_ACTIVATED | 58>,END,<END | 6>,0.1818181818181818,0.9999999999999998,12,0.6531848695791445,1,1
<A_ACTIVATED | 58>,END,<END | 74>,0.5151515151515151,0.4886329848869761,34,0.6531848695791445,1,1
<A_ACTIVATED | 58>,END,<END | 77>,0.0606060606060606,0.4453081024187519,4,0.6531848695791445,1,1
<A_ACTIVATED | 59>,END,<END | 37>,0.8333333333333334,0.5121085025055708,5,0.45868389778284996,1,1
<A_ACTIVATED | 59>,END,<END | 59>,0.1666666666666666,0.19156087416924575,1,0.45868389778284996,1,1
<A_ACTIVATED | 7>,END,<END | 22>,0.6451612903225806,0.4533504238867631,20,0.47420006468698517,1,1
<A_ACTIVATED | 7>,END,<END | 37>,0.3548387096774194,0.5121085025055708,11,0.47420006468698517,1,1
<A_ACTIVATED | 83>,END,<END | 22>,0.6666666666666666,0.4533504238867632,12,0.573934516193259,1,1
<A_ACTIVATED | 83>,END,<END | 6>,0.2222222222222222,1.0,4,0.573934516193259,1,1
<A_ACTIVATED | 83>,END,<END | 77>,0.1111111111111111,0.4453081024187519,2,0.573934516193259,1,1
<A_ACTIVATED | 97>,END,<END | 12>,0.0181818181818181,0.387708465454133,1,0.5189611282582502,1,1
<A_ACTIVATED | 97>,END,<END | 33>,0.1272727272727272,0.8737555685579703,7,0.5189611282582502,1,1
<A_ACTIVATED | 97>,END,<END | 6>,0.0363636363636363,1.0,2,0.5189611282582502,1,1
<A_ACTIVATED | 97>,END,<END | 77>,0.8181818181818182,0.4453081024187521,45,0.5189611282582502,1,1
<A_APPROVED | 17>,A_REGISTERED,<A_REGISTERED | 85>,1.0,0.0,1,0.5524466941559479,1,1
<A_APPROVED | 28>,A_REGISTERED,<A_REGISTERED | 30>,0.1111111111111111,0.0,2,0.5550319422655318,1,1
<A_APPROVED | 28>,A_REGISTERED,<A_REGISTERED | 34>,0.0555555555555555,0.0,1,0.5550319422655318,1,1
<A_APPROVED | 28>,A_REGISTERED,<A_REGISTERED | 68>,0.8333333333333334,0.0,15,0.5550319422655318,1,1
<A_APPROVED | 31>,A_REGISTERED,<A_REGISTERED | 30>,1.0,0.0,37,0.6748216538747757,1,1
<A_APPROVED | 48>,A_REGISTERED,<A_REGISTERED | 34>,0.25,0.0,2,0.4633421149112765,1,1
<A_APPROVED | 48>,A_REGISTERED,<A_REGISTERED | 91>,0.75,0.0,6,0.4633421149112765,1,1
<A_APPROVED | 49>,A_REGISTERED,<A_REGISTERED | 16>,0.0178571428571428,0.0,1,0.5648954122945923,1,1
<A_APPROVED | 49>,A_REGISTERED,<A_REGISTERED | 44>,0.5535714285714286,0.0,31,0.5648954122945923,1,1
<A_APPROVED | 49>,A_REGISTERED,<A_REGISTERED | 68>,0.4285714285714285,0.0,24,0.5648954122945923,1,1
<A_APPROVED | 4>,A_REGISTERED,<A_REGISTERED | 85>,1.0,0.0,1,0.5524466941559479,1,1
<A_APPROVED | 56>,A_REGISTERED,<A_REGISTERED | 85>,1.0,0.0,19,0.5524466941559479,1,1
<A_APPROVED | 66>,A_REGISTERED,<A_REGISTERED | 85>,1.0,0.0,2,0.5524466941559479,1,1
<A_APPROVED | 69>,A_REGISTERED,<A_REGISTERED | 44>,0.8676470588235294,0.0,118,0.574699964333873,1,1
<A_APPROVED | 69>,A_REGISTERED,<A_REGISTERED | 85>,0.1323529411764706,0.0,18,0.574699964333873,1,1
<A_APPROVED | 70>,A_REGISTERED,<A_REGISTERED | 16>,0.9710144927536232,0.0,67,0.6493031783518395,1,1
<A_APPROVED | 70>,A_REGISTERED,<A_REGISTERED | 44>,0.0289855072463768,0.0,2,0.6493031783518395,1,1
<A_APPROVED | 81>,A_REGISTERED,<A_REGISTERED | 34>,1.0,0.0,29,0.4773167662965562,1,1
<A_APPROVED | 85>,A_REGISTERED,<A_REGISTERED | 85>,1.0,0.0,86,0.5524466941559479,1,1
<A_APPROVED | 92>,A_REGISTERED,<A_REGISTERED | 44>,1.0,0.0,4,0.5780945309711836,1,1
<A_CANCELLED | 13>,END,<END | 13>,1.0,0.09404098528686183,55,0.09404098528686183,1,1
<A_CANCELLED | 14>,END,<END | 14>,1.0,0.09518168482498283,2,0.09518168482498283,1,1
<A_CANCELLED | 4>,END,<END | 4>,1.0,0.09487024122355812,9,0.09487024122355812,1,1
<A_CANCELLED | 54>,END,<END | 54>,1.0,0.09449795269307552,160,0.09449795269307552,1,1
<A_CANCELLED | 56>,END,<END | 56>,1.0,0.09501747286221213,5,0.09501747286221213,1,1
<A_CANCELLED | 5>,END,<END | 5>,1.0,0.09397783330889962,80,0.09397783330889962,1,1
<A_CANCELLED | 89>,END,<END | 89>,1.0,0.09339252380086942,19,0.09339252380086942,1,1
<A_DECLINED | 10>,END,<END | 63>,1.0,0.06789508409026931,3,0.06789508409026931,1,1
<A_DECLINED | 13>,END,<END | 13>,1.0,0.09404098528686183,155,0.09404098528686183,1,1
