s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,7999,0.5183478829223443,1,1
<A_ACCEPTED | 1>,A_FINALIZED,<A_FINALIZED | 25>,1.0,0.0,1465,0.5803139106021672,1,1
<A_ACCEPTED | 28>,A_FINALIZED,<A_FINALIZED | 89>,1.0,0.0,796,0.5751296651108206,1,1
<A_ACCEPTED | 29>,A_FINALIZED,<A_FINALIZED | 75>,1.0,0.0,574,0.5513840082656074,1,1
<A_ACCEPTED | 65>,A_FINALIZED,<A_FINALIZED | 75>,0.9252577319587628,0.0,359,0.5531588125143475,1,1
<A_ACCEPTED | 65>,A_FINALIZED,<A_FINALIZED | 89>,0.0747422680412371,0.0,29,0.5531588125143475,1,1
<A_ACCEPTED | 76>,A_FINALIZED,<A_FINALIZED | 76>,0.0239520958083832,0.0,4,0.5749711578671215,1,1
<A_ACCEPTED | 76>,A_FINALIZED,<A_FINALIZED | 89>,0.9760479041916168,0.0,163,0.5749711578671215,1,1
<A_ACTIVATED | 32>,END,<END | 30>,0.0988142292490118,0.9999999999999992,25,0.6246979172951597,1,1
<A_ACTIVATED | 32>,END,<END | 40>,0.2450592885375494,0.6482927352322317,62,0.6246979172951597,1,1
<A_ACTIVATED | 32>,END,<END | 63>,0.6561264822134387,0.559363996935404,166,0.6246979172951597,1,1
<A_ACTIVATED | 37>,END,<END | 0>,0.010178117048346,0.9309804481418724,4,0.6651696225794358,1,1
<A_ACTIVATED | 37>,END,<END | 19>,0.4478371501272264,0.9875965330378113,176,0.6651696225794358,1,1
<A_ACTIVATED | 37>,END,<END | 58>,0.5419847328244275,0.3937593899835495,213,0.6651696225794358,1,1
<A_ACTIVATED | 49>,END,<END | 30>,0.3794749403341289,1.0,159,0.6150962288490561,1,1
<A_ACTIVATED | 49>,END,<END | 63>,0.0477326968973747,0.5593639969354037,20,0.6150962288490561,1,1
<A_ACTIVATED | 49>,END,<END | 68>,0.5727923627684964,0.3647418331210268,240,0.6150962288490561,1,1
<A_ACTIVATED | 59>,END,<END | 19>,0.2035928143712574,0.9875965330378094,34,0.6546546971249627,1,1
<A_ACTIVATED | 59>,END,<END | 58>,0.1077844311377245,0.3937593899835489,18,0.6546546971249627,1,1
<A_ACTIVATED | 59>,END,<END | 83>,0.688622754491018,0.5970555067554729,115,0.6546546971249627,1,1
<A_ACTIVATED | 79>,END,<END | 0>,0.3904109589041096,0.930980448141874,171,0.5647293090659882,1,1
<A_ACTIVATED | 79>,END,<END | 74>,0.6095890410958904,0.3301639728039041,267,0.5647293090659882,1,1
<A_ACTIVATED | 7>,END,<END | 0>,0.3463414634146341,0.9309804481418736,142,0.5677791597473851,1,1
<A_ACTIVATED | 7>,END,<END | 19>,0.0170731707317073,0.9875965330378098,7,0.5677791597473851,1,1
<A_ACTIVATED | 7>,END,<END | 58>,0.2878048780487804,0.393759389983549,118,0.5677791597473851,1,1
<A_ACTIVATED | 7>,END,<END | 74>,0.348780487804878,0.330163972803905,143,0.5677791597473851,1,1
<A_ACTIVATED | 85>,END,<END | 19>,0.0188679245283018,0.9875965330378098,1,0.6131248668040233,1,1
<A_ACTIVATED | 85>,END,<END | 40>,0.1698113207547169,0.6482927352322317,9,0.6131248668040233,1,1
<A_ACTIVATED | 85>,END,<END | 83>,0.8113207547169812,0.5970555067554731,43,0.6131248668040233,1,1
<A_APPROVED | 15>,A_REGISTERED,<A_REGISTERED | 13>,0.4964285714285714,0.0,139,0.59478409368511,1,1
<A_APPROVED | 15>,A_REGISTERED,<A_REGISTERED | 48>,0.0035714285714285,0.0,1,0.59478409368511,1,1
<A_APPROVED | 15>,A_REGISTERED,<A_REGISTERED | 4>,0.5,0.0,140,0.59478409368511,1,1
<A_APPROVED | 22>,A_REGISTERED,<A_REGISTERED | 22>,1.0,0.0,2,0.0,0,1
<A_APPROVED | 35>,A_REGISTERED,<A_REGISTERED | 18>,0.0404858299595141,0.0,10,0.6239106158214257,1,1
<A_APPROVED | 35>,A_REGISTERED,<A_REGISTERED | 52>,0.9595141700404858,0.0,237,0.6239106158214257,1,1
<A_APPROVED | 46>,A_REGISTERED,<A_REGISTERED | 18>,1.0,0.0,427,0.615623552699643,1,1
<A_APPROVED | 55>,A_REGISTERED,<A_REGISTERED | 42>,0.9289617486338798,0.0,170,0.6453450055888483,1,1
<A_APPROVED | 55>,A_REGISTERED,<A_REGISTERED | 48>,0.0710382513661202,0.0,13,0.6453450055888483,1,1
<A_APPROVED | 87>,A_REGISTERED,<A_REGISTERED | 13>,0.392063492063492,0.0,247,0.5657618545194135,1,1
<A_APPROVED | 87>,A_REGISTERED,<A_REGISTERED | 77>,0.6079365079365079,0.0,383,0.5657618545194135,1,1
<A_APPROVED | 96>,A_REGISTERED,<A_REGISTERED | 96>,1.0,0.0,1,0.0,0,1
<A_APPROVED | 97>,A_REGISTERED,<A_REGISTERED | 13>,0.0473537604456824,0.0,17,0.6595814275723515,1,1
<A_APPROVED | 97>,A_REGISTERED,<A_REGISTERED | 48>,0.9526462395543176,0.0,342,0.6595814275723515,1,1
<A_APPROVED | 99>,A_REGISTERED,<A_REGISTERED | 52>,1.0,0.0,1,0.0,0,1
<A_APPROVED | 9>,A_REGISTERED,<A_REGISTERED | 9>,1.0,0.0,3,0.0,0,1
<A_CANCELLED | 11>,END,<END | 11>,1.0,0.0419746523617538,3,0.0,0,1
<A_CANCELLED | 1>,END,<END | 1>,1.0,0.0416240400527288,164,0.0416240400527288,1,1
<A_CANCELLED | 27>,END,<END | 27>,1.0,0.0413518778668435,272,0.0413518778668435,1,1
<A_CANCELLED | 28>,END,<END | 28>,1.0,0.0415614486524018,87,0.0415614486524018,1,1
<A_CANCELLED | 29>,END,<END | 29>,1.0,0.0415730397378451,63,0.0415730397378451,1,1
<A_CANCELLED | 33>,END,<END | 33>,1.0,0.0409545285635328,566,0.0409545285635328,1,1
<A_CANCELLED | 45>,END,<END | 45>,1.0,0.0378919040691691,46,0.0378919040691691,1,1
<A_CANCELLED | 51>,END,<END | 45>,1.0,0.0378919040691691,1,0.0,0,1
<A_CANCELLED | 65>,END,<END | 65>,0.9705882352941176,0.0414947327448882,33,0.04145860895148244,1,1
<A_CANCELLED | 65>,END,<END | 76>,0.0294117647058823,0.0402665237690926,1,0.04145860895148244,1,1
<A_CANCELLED | 76>,END,<END | 76>,1.0,0.0402665237690926,29,0.0402665237690926,1,1
<A_CANCELLED | 8>,END,<END | 8>,1.0,0.0298977786234672,6,0.0298977786234672,1,1
<A_CANCELLED | 98>,END,<END | 45>,1.0,0.0378919040691691,2,0.0,0,1
<A_DECLINED | 11>,END,<END | 43>,0.6774193548387096,0.0192824264664715,21,0.0190900731267875,1,1
<A_DECLINED | 11>,END,<END | 61>,0.3225806451612903,0.0186861311134511,10,0.0190900731267875,1,1
<A_DECLINED | 1>,END,<END | 44>,1.0,0.0322941445517962,439,0.0322941445517962,1,1
<A_DECLINED | 20>,END,<END | 60>,1.0,0.0,3,0.0,0,1
<A_DECLINED | 27>,END,<END | 72>,1.0,0.0345416055377245,715,0.0345416055377245,1,1
<A_DECLINED | 28>,END,<END | 44>,1.0,0.0322941445517962,241,0.0322941445517962,1,1
<A_DECLINED | 29>,END,<END | 44>,1.0,0.0322941445517962,195,0.0322941445517962,1,1
<A_DECLINED | 2>,END,<END | 36>,1.0,0.0100204906513195,9,0.0100204906513195,1,1
<A_DECLINED | 31>,A_SUBMITTED,<A_SUBMITTED | 33>,1.0,0.0,1,0.0,0,1
<A_DECLINED | 33>,END,<END | 33>,1.0,0.0409545285635328,1620,0.0409545285635328,1,1
<A_DECLINED | 34>,END,<END | 43>,1.0,0.0192824264664714,502,0.0192824264664714,1,1
<A_DECLINED | 45>,END,<END | 61>,1.0,0.018686131113451,178,0.018686131113451,1,1
<A_DECLINED | 47>,END,<END | 73>,1.0,0.0065539072050516,2,0.0,0,1
<A_DECLINED | 50>,END,<END | 36>,0.8,0.0100204906513195,16,0.012314201119246627,1,1
<A_DECLINED | 50>,END,<END | 61>,0.15,0.0186861311134511,3,0.012314201119246627,1,1
<A_DECLINED | 50>,END,<END | 8>,0.05,0.0298977786234672,1,0.012314201119246627,1,1
<A_DECLINED | 51>,END,<END | 43>,1.0,0.0192824264664715,9,0.0192824264664715,1,1
<A_DECLINED | 53>,END,<END | 73>,1.0,0.0065539072050516,5,0.0065539072050516,1,1
<A_DECLINED | 60>,END,<END | 60>,1.0,0.0,1,0.0,0,1
<A_DECLINED | 65>,END,<END | 44>,1.0,0.0322941445517962,122,0.0322941445517962,1,1
<A_DECLINED | 70>,END,<END | 36>,1.0,0.0100204906513195,6,0.0100204906513195,1,1
<A_DECLINED | 73>,END,<END | 73>,1.0,0.0065539072050516,8,0.0065539072050516,1,1
<A_DECLINED | 76>,END,<END | 44>,0.5806451612903226,0.0322941445517962,36,0.03563740035259792,1,1
<A_DECLINED | 76>,END,<END | 76>,0.4193548387096774,0.0402665237690926,26,0.03563740035259792,1,1
<A_DECLINED | 84>,END,<END | 36>,1.0,0.0100204906513195,2,0.0,0,1
<A_DECLINED | 86>,END,<END | 36>,0.6,0.0100204906513195,114,0.0060122943907917,1,1
<A_DECLINED | 86>,END,<END | 60>,0.4,0.0,76,0.0060122943907917,1,1
<A_DECLINED | 8>,END,<END | 8>,1.0,0.0298977786234672,21,0.0298977786234672,1,1
<A_DECLINED | 92>,END,<END | 43>,0.925,0.0192824264664714,111,0.018327787521864917,1,1
<A_DECLINED | 92>,END,<END | 73>,0.075,0.0065539072050516,9,0.018327787521864917,1,1
<A_DECLINED | 96>,END,<END | 61>,1.0,0.0186861311134511,2,0.0,0,1
<A_DECLINED | 98>,END,<END | 43>,0.75,0.0192824264664715,6,0.0191333526282164,1,1
<A_DECLINED | 98>,END,<END | 61>,0.25,0.0186861311134511,2,0.0191333526282164,1,1
<A_FINALIZED | 25>,O_SELECTED,<O_SELECTED | 10>,1.0,0.0,1465,0.5803165616732743,1,1
<A_FINALIZED | 75>,O_SELECTED,<O_SELECTED | 56>,0.1039657020364415,0.0,97,0.5513880037369578,1,1
<A_FINALIZED | 75>,O_SELECTED,<O_SELECTED | 88>,0.8960342979635584,0.0,836,0.5513880037369578,1,1
<A_FINALIZED | 76>,O_SELECTED,<O_SELECTED | 56>,1.0,0.0,4,0.5685159062865367,1,1
<A_FINALIZED | 89>,O_SELECTED,<O_SELECTED | 10>,0.5607287449392713,0.0,554,0.5751328729710029,1,1
<A_FINALIZED | 89>,O_SELECTED,<O_SELECTED | 56>,0.4392712550607287,0.0,434,0.5751328729710029,1,1
<A_PARTLYSUBMITTED | 1>,W_Fix_incomplete_submission,<W_Fix_incomplete_submission | 1>,1.0,0.0,1,0.0,0,1
<A_PARTLYSUBMITTED | 31>,A_DECLINED,<A_DECLINED | 31>,1.0,0.0,1,0.0,0,1
<A_PARTLYSUBMITTED | 6>,A_DECLINED,<A_DECLINED | 33>,1.0,0.0,1594,0.0409545285635328,1,0
<A_PARTLYSUBMITTED | 6>,A_PREACCEPTED,<A_PREACCEPTED | 33>,1.0,0.0,3372,0.5544482746734277,1,1
<A_PARTLYSUBMITTED | 6>,W_Assess_fraud,<A_CANCELLED | 33>,0.0657894736842105,0.0,5,0.5206608808878153,1,0
