s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,4000,0.4505643565256584,1.0,1
<A_ACCEPTED | 14>,A_FINALIZED,<A_FINALIZED | 36>,1.0,0.0,666,0.5256436173088793,1.0,1
<A_ACCEPTED | 45>,A_FINALIZED,<A_FINALIZED | 80>,0.0340136054421768,0.0,5,0.5147629791046937,1.0,1
<A_ACCEPTED | 45>,A_FINALIZED,<A_FINALIZED | 91>,0.9659863945578232,0.0,142,0.5147629791046937,1.0,1
<A_ACCEPTED | 80>,A_FINALIZED,<A_FINALIZED | 80>,1.0,0.0,1,0.10695552473449993,0.24491866240370908,1
<A_ACCEPTED | 9>,A_FINALIZED,<A_FINALIZED | 95>,1.0,0.0,302,0.5164524596573207,1.0,1
<A_ACTIVATED | 11>,END,<END | 16>,0.05,0.9999999999999998,2,0.5090049144763064,0.9999999958776927,1
<A_ACTIVATED | 11>,END,<END | 39>,0.575,0.3351235030875737,23,0.5090049144763064,0.9999999958776927,1
<A_ACTIVATED | 11>,END,<END | 3>,0.15,0.4770121076818484,6,0.5090049144763064,0.9999999958776927,1
<A_ACTIVATED | 11>,END,<END | 66>,0.05,0.5460652248751904,2,0.5090049144763064,0.9999999958776927,1
<A_ACTIVATED | 11>,END,<END | 72>,0.175,0.9568789994467968,7,0.5090049144763064,0.9999999958776927,1
<A_ACTIVATED | 19>,END,<END | 27>,0.0259740259740259,0.9010377993821732,2,0.7128545659350642,1.0,1
<A_ACTIVATED | 19>,END,<END | 63>,0.9090909090909092,0.7370097374250815,70,0.7128545659350642,1.0,1
<A_ACTIVATED | 19>,END,<END | 82>,0.0649350649350649,0.2994088716959795,5,0.7128545659350642,1.0,1
<A_ACTIVATED | 32>,END,<END | 39>,0.588957055214724,0.3351235030875735,96,0.5906917132474999,1.0,1
<A_ACTIVATED | 32>,END,<END | 72>,0.4110429447852761,0.9568789994467974,67,0.5906917132474999,1.0,1
<A_ACTIVATED | 42>,END,<END | 49>,1.0,0.6126173139461277,8,0.5905799866760325,0.9640275800758169,1
<A_ACTIVATED | 52>,END,<END | 16>,0.2075471698113207,1.0,11,0.6477651122801593,0.9999999999938024,1
<A_ACTIVATED | 52>,END,<END | 3>,0.0188679245283018,0.4770121076818484,1,0.6477651122801593,0.9999999999938024,1
<A_ACTIVATED | 52>,END,<END | 49>,0.1320754716981132,0.6126173139461277,7,0.6477651122801593,0.9999999999938024,1
<A_ACTIVATED | 52>,END,<END | 66>,0.6415094339622641,0.5460652248751905,34,0.6477651122801593,0.9999999999938024,1
<A_ACTIVATED | 56>,END,<END | 16>,0.2735849056603773,0.9999999999999992,29,0.6279110348851169,1.0,1
<A_ACTIVATED | 56>,END,<END | 3>,0.6132075471698113,0.4770121076818483,65,0.6279110348851169,1.0,1
<A_ACTIVATED | 56>,END,<END | 66>,0.1132075471698113,0.5460652248751905,12,0.6279110348851169,1.0,1
<A_ACTIVATED | 74>,END,<END | 27>,0.4956521739130435,0.9010377993821724,57,0.5976075575926141,1.0,1
<A_ACTIVATED | 74>,END,<END | 82>,0.5043478260869565,0.2994088716959792,58,0.5976075575926141,1.0,1
<A_ACTIVATED | 84>,END,<END | 16>,0.0708661417322834,0.9999999999999998,9,0.5864172153395479,1.0,1
<A_ACTIVATED | 84>,END,<END | 39>,0.4488188976377952,0.3351235030875736,57,0.5864172153395479,1.0,1
<A_ACTIVATED | 84>,END,<END | 3>,0.1968503937007874,0.4770121076818483,25,0.5864172153395479,1.0,1
<A_ACTIVATED | 84>,END,<END | 72>,0.2834645669291338,0.9568789994467974,36,0.5864172153395479,1.0,1
<A_ACTIVATED | 96>,END,<END | 82>,1.0,0.2994088716959795,1,0.07333082036758305,0.24491866240370908,1
<A_APPROVED | 22>,A_REGISTERED,<A_REGISTERED | 22>,1.0,0.0,1,0.035847579696644136,0.24491866240370908,1
<A_APPROVED | 29>,A_REGISTERED,<A_REGISTERED | 53>,0.9824561403508772,0.0,112,0.6006140012885041,1.0,1
<A_APPROVED | 29>,A_REGISTERED,<A_REGISTERED | 67>,0.0175438596491228,0.0,2,0.6006140012885041,1.0,1
<A_APPROVED | 35>,A_REGISTERED,<A_REGISTERED | 67>,1.0,0.0,74,0.712854565935064,0.9999999999999998,1
<A_APPROVED | 40>,A_REGISTERED,<A_REGISTERED | 83>,0.0188679245283018,0.0,3,0.5891954231448377,1.0,1
<A_APPROVED | 40>,A_REGISTERED,<A_REGISTERED | 8>,0.981132075471698,0.0,156,0.5891954231448377,1.0,1
<A_APPROVED | 4>,A_REGISTERED,<A_REGISTERED | 17>,0.6197183098591549,0.0,44,0.6054930846314848,0.9999999999999992,1
<A_APPROVED | 4>,A_REGISTERED,<A_REGISTERED | 83>,0.2394366197183098,0.0,17,0.6054930846314848,0.9999999999999992,1
<A_APPROVED | 4>,A_REGISTERED,<A_REGISTERED | 8>,0.1267605633802817,0.0,9,0.6054930846314848,0.9999999999999992,1
<A_APPROVED | 4>,A_REGISTERED,<A_REGISTERED | 90>,0.0140845070422535,0.0,1,0.6054930846314848,0.9999999999999992,1
<A_APPROVED | 55>,A_REGISTERED,<A_REGISTERED | 17>,0.7628865979381443,0.0,74,0.6253219362890606,1.0,1
<A_APPROVED | 55>,A_REGISTERED,<A_REGISTERED | 90>,0.2371134020618556,0.0,23,0.6253219362890606,1.0,1
<A_APPROVED | 57>,A_REGISTERED,<A_REGISTERED | 53>,1.0,0.0,2,0.27662781540986536,0.4621171572600098,1
<A_APPROVED | 71>,A_REGISTERED,<A_REGISTERED | 53>,1.0,0.0,1,0.14661068837079372,0.24491866240370908,1
<A_APPROVED | 87>,A_REGISTERED,<A_REGISTERED | 42>,0.032258064516129,0.0,1,0.6240056002560965,0.9999996289217963,1
<A_APPROVED | 87>,A_REGISTERED,<A_REGISTERED | 90>,0.967741935483871,0.0,30,0.6240056002560965,0.9999996289217963,1
<A_APPROVED | 89>,A_REGISTERED,<A_REGISTERED | 83>,0.9784172661870504,0.0,136,0.572764510123188,1.0,1
<A_APPROVED | 89>,A_REGISTERED,<A_REGISTERED | 8>,0.0215827338129496,0.0,3,0.572764510123188,1.0,1
<A_APPROVED | 96>,A_REGISTERED,<A_REGISTERED | 96>,1.0,0.0,1,0.004398760346901806,0.24491866240370908,1
<A_CANCELLED | 0>,END,<END | 85>,1.0,0.0293896908620717,424,0.0293896908620717,1.0,1
<A_CANCELLED | 14>,END,<END | 14>,1.0,0.0343316013547743,79,0.0343316013547743,1.0,1
<A_CANCELLED | 15>,END,<END | 98>,1.0,0.0139482200575716,1,0.0034161793994130223,0.24491866240370908,1
<A_CANCELLED | 25>,END,<END | 25>,0.1787709497206704,0.0345360586143838,32,0.030309711912764364,1.0,1
<A_CANCELLED | 25>,END,<END | 85>,0.8212290502793296,0.0293896908620717,147,0.030309711912764364,1.0,1
<A_CANCELLED | 45>,END,<END | 45>,1.0,0.0341050992810379,21,0.03410322106607943,0.9999449286177708,1
<A_CANCELLED | 48>,END,<END | 98>,1.0,0.0139482200575716,30,0.013948211523988445,0.9999993881955461,1
<A_CANCELLED | 59>,END,<END | 98>,1.0,0.0139482200575716,1,0.0034161793994130223,0.24491866240370908,1
<A_CANCELLED | 78>,END,<END | 78>,1.0,0.0342081896549576,1,0.008378224053544615,0.24491866240370908,1
<A_CANCELLED | 99>,END,<END | 98>,1.0,0.0139482200575716,1,0.0034161793994130223,0.24491866240370908,1
<A_CANCELLED | 9>,END,<END | 9>,1.0,0.0341925096600632,33,0.034192504992373335,0.9999998634879418,1
<A_DECLINED | 0>,END,<END | 41>,1.0,0.0299756972940657,1269,0.0299756972940657,1.0,1
<A_DECLINED | 13>,END,<END | 34>,1.0,0.0126179244452299,1,0.00309036517743677,0.24491866240370908,1
<A_DECLINED | 14>,END,<END | 69>,0.2232558139534883,0.0235314810175396,48,0.02592410699365398,1.0,1
<A_DECLINED | 14>,END,<END | 79>,0.7767441860465116,0.0266118078730162,167,0.02592410699365398,1.0,1
<A_DECLINED | 15>,END,<END | 24>,1.0,2.0816681711721685e-17,1,5.098393840518628e-18,0.24491866240370908,1
<A_DECLINED | 21>,END,<END | 21>,1.0,0.0345792694951876,2,0.01597967371924387,0.4621171572600098,1
<A_DECLINED | 25>,END,<END | 65>,1.0,0.027601099045418,521,0.027601099045418,1.0,1
<A_DECLINED | 26>,END,<END | 34>,0.9902439024390244,0.0126179244452298,203,0.012588935242292421,1.0,1
<A_DECLINED | 26>,END,<END | 73>,0.0097560975609756,0.0096465311441484,2,0.012588935242292421,1.0,1
<A_DECLINED | 30>,END,<END | 73>,1.0,0.0096465311441484,1,0.0023626155046605475,0.24491866240370908,1
<A_DECLINED | 31>,END,<END | 34>,0.8333333333333334,0.0126179244452299,5,0.011341407748612116,0.9051482536448664,1
<A_DECLINED | 31>,END,<END | 77>,0.1666666666666666,0.0120897157636815,1,0.011341407748612116,0.9051482536448664,1
<A_DECLINED | 43>,END,<END | 24>,1.0,2.0816681711721685e-17,4,1.5853863138038483e-17,0.7615941559557649,1
<A_DECLINED | 45>,END,<END | 69>,1.0,0.0235314810175396,65,0.02353148101753924,0.9999999999999847,1
<A_DECLINED | 48>,END,<END | 77>,1.0,0.0120897157636815,55,0.012089715763653936,0.99999999999772,1
<A_DECLINED | 51>,END,<END | 24>,1.0,0.0,62,0.0,0.9999999999999312,1
<A_DECLINED | 59>,END,<END | 34>,0.8,0.0126179244452299,4,0.010613964720500295,0.8482836399575129,1
<A_DECLINED | 59>,END,<END | 77>,0.2,0.0120897157636815,1,0.010613964720500295,0.8482836399575129,1
<A_DECLINED | 62>,END,<END | 24>,1.0,2.0816681711721685e-17,4,1.5853863138038483e-17,0.7615941559557649,1
<A_DECLINED | 68>,END,<END | 24>,0.5,2.0816681711721685e-17,2,0.004804868758889247,0.7615941559557649,1
<A_DECLINED | 68>,END,<END | 34>,0.5,0.0126179244452299,2,0.004804868758889247,0.7615941559557649,1
<A_DECLINED | 73>,END,<END | 73>,1.0,0.0096465311441484,7,0.009081008450453553,0.9413755384972874,1
<A_DECLINED | 78>,END,<END | 78>,1.0,0.0342081896549576,2,0.01580819135836028,0.4621171572600098,1
<A_DECLINED | 92>,END,<END | 92>,1.0,0.0342533871340628,1,0.008389293759671079,0.24491866240370908,1
<A_DECLINED | 93>,END,<END | 24>,1.0,2.0816681711721685e-17,5,1.765845053425626e-17,0.8482836399575129,1
<A_DECLINED | 96>,END,<END | 34>,0.25,0.0126179244452299,1,0.009308027034034208,0.7615941559557649,1
<A_DECLINED | 96>,END,<END | 77>,0.75,0.0120897157636815,3,0.009308027034034208,0.7615941559557649,1
<A_DECLINED | 97>,END,<END | 97>,1.0,0.0343730731378848,1,0.008418607095635609,0.24491866240370908,1
<A_DECLINED | 99>,END,<END | 24>,0.5,2.0816681711721685e-17,1,0.00794556499970889,0.4621171572600098,1
<A_DECLINED | 99>,END,<END | 99>,0.5,0.0343876650104048,1,0.00794556499970889,0.4621171572600098,1
<A_DECLINED | 9>,END,<END | 69>,0.282051282051282,0.0235314810175396,22,0.02584018621874135,1.0,1
<A_DECLINED | 9>,END,<END | 79>,0.7051282051282052,0.0266118078730162,55,0.02584018621874135,1.0,1
<A_DECLINED | 9>,END,<END | 9>,0.0128205128205128,0.0341925096600632,1,0.02584018621874135,1.0,1
<A_FINALIZED | 36>,O_SELECTED,<O_SELECTED | 20>,0.2732732732732733,0.0,182,0.525645285550061,1.0,1
<A_FINALIZED | 36>,O_SELECTED,<O_SELECTED | 58>,0.7267267267267268,0.0,484,0.525645285550061,1.0,1
<A_FINALIZED | 80>,O_SELECTED,<O_SELECTED | 80>,1.0,0.0,6,0.43669946962712186,0.9051482536448664,1
<A_FINALIZED | 91>,O_SELECTED,<O_SELECTED | 20>,0.8732394366197183,0.0,124,0.5175133811056583,1.0,1
<A_FINALIZED | 91>,O_SELECTED,<O_SELECTED | 80>,0.1267605633802817,0.0,18,0.5175133811056583,1.0,1
<A_FINALIZED | 95>,O_SELECTED,<O_SELECTED | 88>,1.0,0.0,302,0.516454118820768,1.0,1
<A_PARTLYSUBMITTED | 33>,A_DECLINED,<A_DECLINED | 0>,1.0,0.0,1251,0.0299756972940657,1.0,0
<A_PARTLYSUBMITTED | 33>,A_PREACCEPTED,<A_PREACCEPTED | 0>,1.0,0.0,1119,0.49973141301361057,1.0,1
<A_PARTLYSUBMITTED | 33>,W_Assess_fraud,<A_CANCELLED | 0>,0.1395348837209302,0.0,6,0.4340340483590814,0.9999999990801889,0
<A_PARTLYSUBMITTED | 33>,W_Assess_fraud,<W_Assess_fraud | 0>,0.8604651162790697,0.0,37,0.4340340483590814,0.9999999990801889,0
<A_PARTLYSUBMITTED | 33>,W_Fix_incomplete_submission,<A_CANCELLED | 25>,0.1257485029940119,0.0,147,0.43463328792269373,1.0,0
<A_PARTLYSUBMITTED | 33>,W_Fix_incomplete_submission,<W_Fix_incomplete_submission | 0>,0.874251497005988,0.0,1022,0.43463328792269373,1.0,0
<A_PREACCEPTED | 0>,W_Complete_preaccepted_appl,<A_CANCELLED | 14>,0.0527240773286467,0.0,60,0.49973490636661433,1.0,1
<A_PREACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 37>,0.9472759226713532,0.0,1078,0.49973490636661433,1.0,1
<A_PREACCEPTED | 25>,W_Complete_preaccepted_appl,<A_CANCELLED | 9>,0.0490405117270788,0.0,23,0.49279745400763736,1.0,1
