s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,4000,0.2858055898955068,1,1
<A_ACCEPTED | 1>,A_FINALIZED,<A_FINALIZED | 62>,1.0,0.0,861,0.37104445016052406,1,1
<A_ACCEPTED | 94>,A_FINALIZED,<A_FINALIZED | 62>,0.9959349593495936,0.0,245,0.36953613938751384,1,1
<A_ACCEPTED | 94>,A_FINALIZED,<A_FINALIZED | 94>,0.0040650406504065,0.0,1,0.36953613938751384,1,1
<A_ACTIVATED | 110>,END,<END | 119>,0.3,0.8355728590774472,6,0.45975657147168636,1,1
<A_ACTIVATED | 110>,END,<END | 38>,0.7,0.2986924482120746,14,0.45975657147168636,1,1
<A_ACTIVATED | 11>,END,<END | 119>,0.0625,0.835572859077447,1,0.41694341814865166,1,1
<A_ACTIVATED | 11>,END,<END | 38>,0.3125,0.2986924482120746,5,0.41694341814865166,1,1
<A_ACTIVATED | 11>,END,<END | 40>,0.625,0.4342059590240607,10,0.41694341814865166,1,1
<A_ACTIVATED | 18>,END,<END | 21>,0.3012048192771084,0.3335728874123915,25,0.48572353742765967,1,1
<A_ACTIVATED | 18>,END,<END | 23>,0.2048192771084337,0.2543897203883434,17,0.48572353742765967,1,1
<A_ACTIVATED | 18>,END,<END | 66>,0.0963855421686747,0.8486311273526026,8,0.48572353742765967,1,1
<A_ACTIVATED | 18>,END,<END | 7>,0.3614457831325301,0.5954019051921104,30,0.48572353742765967,1,1
<A_ACTIVATED | 18>,END,<END | 85>,0.036144578313253,0.9999999999999996,3,0.48572353742765967,1,1
<A_ACTIVATED | 22>,END,<END | 84>,1.0,0.2290949788578464,2,0.0,0,1
<A_ACTIVATED | 31>,END,<END | 103>,0.24,0.3319141835888362,12,0.5595392587029281,1,1
<A_ACTIVATED | 31>,END,<END | 119>,0.02,0.835572859077447,1,0.5595392587029281,1,1
<A_ACTIVATED | 31>,END,<END | 21>,0.32,0.3335728874123915,16,0.5595392587029281,1,1
<A_ACTIVATED | 31>,END,<END | 66>,0.42,0.8486311273526029,21,0.5595392587029281,1,1
<A_ACTIVATED | 35>,END,<END | 105>,0.1416666666666666,0.5686512915552832,17,0.5548864824370185,1,1
<A_ACTIVATED | 35>,END,<END | 114>,0.15,0.2666788623235991,18,0.5548864824370185,1,1
<A_ACTIVATED | 35>,END,<END | 23>,0.2083333333333333,0.2543897203883434,25,0.5548864824370185,1,1
<A_ACTIVATED | 35>,END,<END | 36>,0.0083333333333333,0.9202767227451814,1,0.5548864824370185,1,1
<A_ACTIVATED | 35>,END,<END | 7>,0.2916666666666667,0.5954019051921106,35,0.5548864824370185,1,1
<A_ACTIVATED | 35>,END,<END | 85>,0.2,1.0,24,0.5548864824370185,1,1
<A_ACTIVATED | 44>,END,<END | 105>,0.4644808743169399,0.5686512915552832,85,0.5475375665470927,1,1
<A_ACTIVATED | 44>,END,<END | 114>,0.3224043715846995,0.2666788623235993,59,0.5475375665470927,1,1
<A_ACTIVATED | 44>,END,<END | 36>,0.1967213114754098,0.9202767227451818,36,0.5475375665470927,1,1
<A_ACTIVATED | 44>,END,<END | 85>,0.0163934426229508,0.9999999999999996,3,0.5475375665470927,1,1
<A_ACTIVATED | 58>,END,<END | 103>,0.5526315789473685,0.3319141835888364,21,0.501065081170943,1,1
<A_ACTIVATED | 58>,END,<END | 119>,0.3157894736842105,0.8355728590774472,12,0.501065081170943,1,1
<A_ACTIVATED | 58>,END,<END | 38>,0.1052631578947368,0.2986924482120746,4,0.501065081170943,1,1
<A_ACTIVATED | 58>,END,<END | 66>,0.0263157894736842,0.8486311273526026,1,0.501065081170943,1,1
<A_ACTIVATED | 65>,END,<END | 114>,1.0,0.2666788623235991,1,0.0,0,1
<A_ACTIVATED | 78>,END,<END | 105>,0.0757575757575757,0.5686512915552832,5,0.5201927667303162,1,1
<A_ACTIVATED | 78>,END,<END | 21>,0.0151515151515151,0.3335728874123915,1,0.5201927667303162,1,1
<A_ACTIVATED | 78>,END,<END | 23>,0.3333333333333333,0.2543897203883434,22,0.5201927667303162,1,1
<A_ACTIVATED | 78>,END,<END | 66>,0.0303030303030303,0.8486311273526026,2,0.5201927667303162,1,1
<A_ACTIVATED | 78>,END,<END | 7>,0.4545454545454545,0.5954019051921104,30,0.5201927667303162,1,1
<A_ACTIVATED | 78>,END,<END | 85>,0.0909090909090909,0.9999999999999996,6,0.5201927667303162,1,1
<A_ACTIVATED | 88>,END,<END | 103>,0.3518518518518518,0.3319141835888364,19,0.488981448841123,1,1
<A_ACTIVATED | 88>,END,<END | 21>,0.3148148148148148,0.3335728874123915,17,0.488981448841123,1,1
<A_ACTIVATED | 88>,END,<END | 23>,0.0185185185185185,0.2543897203883434,1,0.488981448841123,1,1
<A_ACTIVATED | 88>,END,<END | 66>,0.2962962962962963,0.8486311273526026,16,0.488981448841123,1,1
<A_ACTIVATED | 88>,END,<END | 7>,0.0185185185185185,0.5954019051921104,1,0.488981448841123,1,1
<A_APPROVED | 108>,A_REGISTERED,<A_REGISTERED | 0>,0.1031390134529148,0.0,23,0.5462353764700507,1,1
<A_APPROVED | 108>,A_REGISTERED,<A_REGISTERED | 101>,0.0269058295964125,0.0,6,0.5462353764700507,1,1
<A_APPROVED | 108>,A_REGISTERED,<A_REGISTERED | 74>,0.8699551569506726,0.0,194,0.5462353764700507,1,1
<A_APPROVED | 111>,A_REGISTERED,<A_REGISTERED | 97>,1.0,0.0,2,0.0,0,1
<A_APPROVED | 12>,A_REGISTERED,<A_REGISTERED | 12>,0.0625,0.0,1,0.5143991214252546,1,1
<A_APPROVED | 12>,A_REGISTERED,<A_REGISTERED | 74>,0.9375,0.0,15,0.5143991214252546,1,1
<A_APPROVED | 28>,A_REGISTERED,<A_REGISTERED | 10>,0.3928571428571428,0.0,22,0.4977928633400464,1,1
<A_APPROVED | 28>,A_REGISTERED,<A_REGISTERED | 43>,0.6071428571428571,0.0,34,0.4977928633400464,1,1
<A_APPROVED | 33>,A_REGISTERED,<A_REGISTERED | 0>,0.7605633802816901,0.0,108,0.5280444508660421,1,1
<A_APPROVED | 33>,A_REGISTERED,<A_REGISTERED | 45>,0.2394366197183098,0.0,34,0.5280444508660421,1,1
<A_APPROVED | 34>,A_REGISTERED,<A_REGISTERED | 42>,1.0,0.0,17,0.4467264813298932,1,1
<A_APPROVED | 37>,A_REGISTERED,<A_REGISTERED | 74>,1.0,0.0,1,0.0,0,1
<A_APPROVED | 55>,A_REGISTERED,<A_REGISTERED | 101>,0.6621621621621622,0.0,49,0.5141062959072631,1,1
<A_APPROVED | 55>,A_REGISTERED,<A_REGISTERED | 43>,0.3378378378378378,0.0,25,0.5141062959072631,1,1
<A_APPROVED | 65>,A_REGISTERED,<A_REGISTERED | 65>,1.0,0.0,1,0.0,0,1
<A_APPROVED | 69>,A_REGISTERED,<A_REGISTERED | 116>,0.9,0.0,9,0.0,0,1
<A_APPROVED | 69>,A_REGISTERED,<A_REGISTERED | 42>,0.1,0.0,1,0.0,0,1
<A_APPROVED | 79>,A_REGISTERED,<A_REGISTERED | 117>,0.4406779661016949,0.0,26,0.528741739487334,1,1
<A_APPROVED | 79>,A_REGISTERED,<A_REGISTERED | 45>,0.559322033898305,0.0,33,0.528741739487334,1,1
<A_APPROVED | 81>,A_REGISTERED,<A_REGISTERED | 43>,1.0,0.0,1,0.0,0,1
<A_APPROVED | 93>,A_REGISTERED,<A_REGISTERED | 10>,0.8387096774193549,0.0,26,0.49018940350454165,1,1
<A_APPROVED | 93>,A_REGISTERED,<A_REGISTERED | 42>,0.1612903225806451,0.0,5,0.49018940350454165,1,1
<A_CANCELLED | 12>,END,<END | 12>,0.5,0.0673134619368713,1,0.0,0,1
<A_CANCELLED | 12>,END,<END | 37>,0.5,0.0641198923667071,1,0.0,0,1
<A_CANCELLED | 15>,END,<END | 15>,1.0,0.0665434288551374,439,0.0665434288551374,1,1
<A_CANCELLED | 1>,END,<END | 1>,1.0,0.0672295116546318,97,0.0672295116546318,1,1
<A_CANCELLED | 37>,END,<END | 37>,1.0,0.0641198923667071,16,0.0641198923667071,1,1
<A_CANCELLED | 65>,END,<END | 65>,1.0,0.0673844530498312,1,0.0,0,1
<A_CANCELLED | 82>,END,<END | 82>,1.0,0.0658798554257475,166,0.0658798554257475,1,1
<A_CANCELLED | 94>,END,<END | 94>,1.0,0.0672302302961055,19,0.0672302302961055,1,1
<A_DECLINED | 106>,END,<END | 106>,1.0,0.0452394193202237,25,0.0452394193202237,1,1
<A_DECLINED | 107>,END,<END | 107>,1.0,0.0,4,0.0,0,1
<A_DECLINED | 112>,END,<END | 67>,1.0,0.0311946450010316,1,0.0,0,1
<A_DECLINED | 115>,END,<END | 75>,1.0,0.0502174536536797,4,0.0,0,1
<A_DECLINED | 12>,END,<END | 56>,0.3333333333333333,0.0590724013282139,2,0.0,0,1
<A_DECLINED | 12>,END,<END | 75>,0.6666666666666666,0.0502174536536797,4,0.0,0,1
<A_DECLINED | 15>,END,<END | 15>,1.0,0.0665434288551374,1259,0.0665434288551374,1,1
<A_DECLINED | 1>,END,<END | 104>,1.0,0.0581087692464931,280,0.0581087692464931,1,1
<A_DECLINED | 24>,END,<END | 106>,1.0,0.0452394193202237,1,0.0,0,1
<A_DECLINED | 26>,END,<END | 67>,1.0,0.0311946450010316,1,0.0,0,1
<A_DECLINED | 29>,END,<END | 107>,1.0,0.0,1,0.0,0,1
<A_DECLINED | 32>,END,<END | 67>,0.6666666666666666,0.0311946450010316,2,0.0,0,1
<A_DECLINED | 32>,END,<END | 75>,0.3333333333333333,0.0502174536536797,1,0.0,0,1
<A_DECLINED | 39>,END,<END | 107>,1.0,0.0,1,0.0,0,1
<A_DECLINED | 48>,END,<END | 75>,1.0,0.0502174536536797,6,0.0,0,1
<A_DECLINED | 49>,END,<END | 56>,1.0,0.0590724013282139,6,0.0,0,1
<A_DECLINED | 4>,END,<END | 106>,1.0,0.0452394193202237,1,0.0,0,1
<A_DECLINED | 50>,END,<END | 67>,1.0,0.0311946450010316,1,0.0,0,1
<A_DECLINED | 53>,END,<END | 67>,1.0,0.0311946450010316,1,0.0,0,1
<A_DECLINED | 56>,END,<END | 106>,0.1802575107296137,0.0452394193202237,42,0.05657890242548605,1,1
<A_DECLINED | 56>,END,<END | 56>,0.8197424892703863,0.0590724013282139,191,0.05657890242548605,1,1
<A_DECLINED | 61>,END,<END | 67>,0.3333333333333333,0.0311946450010316,1,0.0,0,1
<A_DECLINED | 61>,END,<END | 75>,0.6666666666666666,0.0502174536536797,2,0.0,0,1
<A_DECLINED | 64>,END,<END | 106>,1.0,0.0452394193202237,3,0.0,0,1
<A_DECLINED | 67>,END,<END | 67>,1.0,0.0311946450010316,23,0.0311946450010316,1,1
<A_DECLINED | 71>,END,<END | 75>,1.0,0.0502174536536797,3,0.0,0,1
<A_DECLINED | 75>,END,<END | 75>,1.0,0.0502174536536797,68,0.0502174536536797,1,1
<A_DECLINED | 77>,END,<END | 106>,1.0,0.0452394193202237,1,0.0,0,1
<A_DECLINED | 80>,END,<END | 106>,0.3333333333333333,0.0452394193202237,1,0.0,0,1
<A_DECLINED | 80>,END,<END | 75>,0.6666666666666666,0.0502174536536797,2,0.0,0,1
<A_DECLINED | 82>,END,<END | 82>,1.0,0.0658798554257475,546,0.0658798554257475,1,1
<A_DECLINED | 90>,END,<END | 67>,1.0,0.0311946450010316,1,0.0,0,1
<A_DECLINED | 94>,END,<END | 104>,1.0,0.0581087692464931,87,0.0581087692464931,1,1
<A_DECLINED | 9>,END,<END | 106>,0.4,0.0452394193202237,2,0.0,0,1
<A_DECLINED | 9>,END,<END | 75>,0.6,0.0502174536536797,3,0.0,0,1
<A_FINALIZED | 62>,O_SELECTED,<O_SELECTED | 96>,1.0,0.0,1106,0.37104787745278534,1,1
<A_FINALIZED | 94>,O_SELECTED,<O_SELECTED | 96>,1.0,0.0,1,0.0,0,1
<A_PARTLYSUBMITTED | 68>,A_DECLINED,<A_DECLINED | 15>,1.0,0.0,1244,0.0665434288551374,1,0
<A_PARTLYSUBMITTED | 68>,A_PREACCEPTED,<A_PREACCEPTED | 15>,1.0,0.0,1108,0.3122990693016015,1,1
<A_PARTLYSUBMITTED | 68>,W_Assess_fraud,<A_CANCELLED | 15>,0.1951219512195122,0.0,8,0.2643431988162473,1,0
<A_PARTLYSUBMITTED | 68>,W_Assess_fraud,<W_Assess_fraud | 15>,0.8048780487804879,0.0,33,0.2643431988162473,1,0
<A_PARTLYSUBMITTED | 68>,W_Fix_incomplete_submission,<A_CANCELLED | 82>,0.1224489795918367,0.0,144,0.28250125360466993,1,0
<A_PARTLYSUBMITTED | 68>,W_Fix_incomplete_submission,<W_Fix_incomplete_submission | 15>,0.8775510204081632,0.0,1032,0.28250125360466993,1,0
<A_PREACCEPTED | 15>,W_Complete_preaccepted_appl,<A_CANCELLED | 1>,0.0506216696269982,0.0,57,0.31230299963516683,1,1
<A_PREACCEPTED | 15>,W_Complete_preaccepted_appl,<O_DECLINED | 1>,0.1385435168738898,0.0,156,0.31230299963516683,1,1
<A_PREACCEPTED | 15>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 15>,0.8108348134991119,0.0,913,0.31230299963516683,1,1
<A_PREACCEPTED | 82>,W_Complete_preaccepted_appl,<A_CANCELLED | 1>,0.0409482758620689,0.0,19,0.31273585377598634,1,1
<A_PREACCEPTED | 82>,W_Complete_preaccepted_appl,<O_DECLINED | 1>,0.146551724137931,0.0,68,0.31273585377598634,1,1
<A_PREACCEPTED | 82>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 82>,0.8125,0.0,377,0.31273585377598634,1,1
<A_REGISTERED | 0>,A_ACTIVATED,<A_ACTIVATED | 18>,0.3358778625954198,0.0,44,0.5316561802964705,1,1
<A_REGISTERED | 0>,A_ACTIVATED,<A_ACTIVATED | 35>,0.6641221374045801,0.0,87,0.5316561802964705,1,1
<A_REGISTERED | 101>,A_ACTIVATED,<A_ACTIVATED | 44>,0.0909090909090909,0.0,5,0.5226786576227505,1,1
<A_REGISTERED | 101>,A_ACTIVATED,<A_ACTIVATED | 78>,0.9090909090909092,0.0,50,0.5226786576227505,1,1
<A_REGISTERED | 10>,A_ACTIVATED,<A_ACTIVATED | 58>,0.7916666666666666,0.0,38,0.4985476577688971,1,1
<A_REGISTERED | 10>,A_ACTIVATED,<A_ACTIVATED | 88>,0.2083333333333333,0.0,10,0.4985476577688971,1,1
<A_REGISTERED | 116>,A_ACTIVATED,<A_ACTIVATED | 11>,1.0,0.0,9,0.0,0,1
<A_REGISTERED | 117>,A_ACTIVATED,<A_ACTIVATED | 110>,0.1538461538461538,0.0,4,0.5441880760519678,1,1
<A_REGISTERED | 117>,A_ACTIVATED,<A_ACTIVATED | 31>,0.8461538461538461,0.0,22,0.5441880760519678,1,1
<A_REGISTERED | 12>,A_ACTIVATED,<A_ACTIVATED | 44>,1.0,0.0,1,0.0,0,1
<A_REGISTERED | 42>,A_ACTIVATED,<A_ACTIVATED | 110>,0.6956521739130435,0.0,16,0.4467264813298932,1,1
<A_REGISTERED | 42>,A_ACTIVATED,<A_ACTIVATED | 11>,0.3043478260869565,0.0,7,0.4467264813298932,1,1
<A_REGISTERED | 43>,A_ACTIVATED,<A_ACTIVATED | 78>,0.2666666666666666,0.0,16,0.4973044669449078,1,1
<A_REGISTERED | 43>,A_ACTIVATED,<A_ACTIVATED | 88>,0.7333333333333333,0.0,44,0.4973044669449078,1,1
<A_REGISTERED | 45>,A_ACTIVATED,<A_ACTIVATED | 18>,0.582089552238806,0.0,39,0.5165718985576226,1,1
<A_REGISTERED | 45>,A_ACTIVATED,<A_ACTIVATED | 31>,0.417910447761194,0.0,28,0.5165718985576226,1,1
<A_REGISTERED | 65>,A_ACTIVATED,<A_ACTIVATED | 65>,1.0,0.0,1,0.0,0,1
<A_REGISTERED | 74>,A_ACTIVATED,<A_ACTIVATED | 35>,0.1571428571428571,0.0,33,0.5486923961869382,1,1
<A_REGISTERED | 74>,A_ACTIVATED,<A_ACTIVATED | 44>,0.8428571428571429,0.0,177,0.5486923961869382,1,1
<A_REGISTERED | 97>,A_ACTIVATED,<A_ACTIVATED | 22>,1.0,0.0,2,0.0,0,1
<A_SUBMITTED | 54>,A_PARTLYSUBMITTED,<A_CANCELLED | 15>,0.10775,0.0,431,0.2858149632387681,1,1
<A_SUBMITTED | 54>,A_PARTLYSUBMITTED,<A_PARTLYSUBMITTED | 68>,0.89225,0.0,3569,0.2858149632387681,1,1
<O_ACCEPTED | 100>,A_APPROVED,<A_APPROVED | 33>,0.8333333333333334,0.0,15,0.5281606656362574,1,1
<O_ACCEPTED | 100>,A_APPROVED,<A_APPROVED | 79>,0.1666666666666666,0.0,3,0.5281606656362574,1,1
<O_ACCEPTED | 102>,A_APPROVED,<A_APPROVED | 108>,1.0,0.0,11,0.0,0,1
<O_ACCEPTED | 109>,A_APPROVED,<A_APPROVED | 108>,1.0,0.0,3,0.0,0,1
<O_ACCEPTED | 112>,A_APPROVED,<A_APPROVED | 33>,1.0,0.0,13,0.5280444508660421,1,1
<O_ACCEPTED | 115>,A_APPROVED,<A_APPROVED | 108>,1.0,0.0,28,0.5462353764700507,1,1
<O_ACCEPTED | 118>,A_APPROVED,<A_APPROVED | 108>,1.0,0.0,9,0.0,0,1
<O_ACCEPTED | 12>,A_APPROVED,<A_APPROVED | 108>,0.3333333333333333,0.0,8,0.5250112064401866,1,1
<O_ACCEPTED | 12>,A_APPROVED,<A_APPROVED | 12>,0.6666666666666666,0.0,16,0.5250112064401866,1,1
<O_ACCEPTED | 14>,A_APPROVED,<A_APPROVED | 79>,1.0,0.0,6,0.0,0,1
<O_ACCEPTED | 16>,A_APPROVED,<A_APPROVED | 69>,1.0,0.0,5,0.0,0,1
<O_ACCEPTED | 17>,A_APPROVED,<A_APPROVED | 28>,0.8,0.0,12,0.5010555498534898,1,1
<O_ACCEPTED | 17>,A_APPROVED,<A_APPROVED | 55>,0.2,0.0,3,0.5010555498534898,1,1
<O_ACCEPTED | 19>,A_APPROVED,<A_APPROVED | 34>,1.0,0.0,2,0.0,0,1
<O_ACCEPTED | 24>,A_APPROVED,<A_APPROVED | 33>,1.0,0.0,18,0.5280444508660421,1,1
<O_ACCEPTED | 26>,A_APPROVED,<A_APPROVED | 33>,1.0,0.0,8,0.0,0,1
<O_ACCEPTED | 27>,A_APPROVED,<A_APPROVED | 69>,1.0,0.0,2,0.0,0,1
<O_ACCEPTED | 29>,A_APPROVED,<A_APPROVED | 28>,0.6923076923076923,0.0,9,0.4954533372368142,1,1
<O_ACCEPTED | 29>,A_APPROVED,<A_APPROVED | 93>,0.3076923076923077,0.0,4,0.4954533372368142,1,1
<O_ACCEPTED | 2>,A_APPROVED,<A_APPROVED | 28>,0.8333333333333334,0.0,10,0.0,0,1
<O_ACCEPTED | 2>,A_APPROVED,<A_APPROVED | 93>,0.1666666666666666,0.0,2,0.0,0,1
<O_ACCEPTED | 30>,A_APPROVED,<A_APPROVED | 28>,0.5,0.0,8,0.5059495796236547,1,1
<O_ACCEPTED | 30>,A_APPROVED,<A_APPROVED | 55>,0.5,0.0,8,0.5059495796236547,1,1
<O_ACCEPTED | 32>,A_APPROVED,<A_APPROVED | 55>,1.0,0.0,17,0.5141062959072631,1,1
<O_ACCEPTED | 37>,A_APPROVED,<A_APPROVED | 108>,0.7777777777777778,0.0,7,0.0,0,1
<O_ACCEPTED | 37>,A_APPROVED,<A_APPROVED | 37>,0.1111111111111111,0.0,1,0.0,0,1
<O_ACCEPTED | 37>,A_APPROVED,<A_APPROVED | 55>,0.1111111111111111,0.0,1,0.0,0,1
<O_ACCEPTED | 39>,A_APPROVED,<A_APPROVED | 28>,0.2,0.0,2,0.0,0,1
<O_ACCEPTED | 39>,A_APPROVED,<A_APPROVED | 93>,0.8,0.0,8,0.0,0,1
<O_ACCEPTED | 41>,A_APPROVED,<A_APPROVED | 34>,0.6666666666666666,0.0,2,0.0,0,1
<O_ACCEPTED | 41>,A_APPROVED,<A_APPROVED | 69>,0.3333333333333333,0.0,1,0.0,0,1
<O_ACCEPTED | 46>,A_APPROVED,<A_APPROVED | 108>,1.0,0.0,26,0.5462353764700507,1,1
<O_ACCEPTED | 47>,A_APPROVED,<A_APPROVED | 111>,1.0,0.0,1,0.0,0,1
<O_ACCEPTED | 48>,A_APPROVED,<A_APPROVED | 108>,1.0,0.0,77,0.5462353764700507,1,1
<O_ACCEPTED | 4>,A_APPROVED,<A_APPROVED | 108>,0.375,0.0,3,0.0,0,1
<O_ACCEPTED | 4>,A_APPROVED,<A_APPROVED | 33>,0.625,0.0,5,0.0,0,1
<O_ACCEPTED | 50>,A_APPROVED,<A_APPROVED | 55>,1.0,0.0,10,0.0,0,1
<O_ACCEPTED | 51>,A_APPROVED,<A_APPROVED | 33>,0.75,0.0,3,0.0,0,1
<O_ACCEPTED | 51>,A_APPROVED,<A_APPROVED | 79>,0.25,0.0,1,0.0,0,1
<O_ACCEPTED | 52>,A_APPROVED,<A_APPROVED | 34>,0.3333333333333333,0.0,1,0.0,0,1
<O_ACCEPTED | 52>,A_APPROVED,<A_APPROVED | 93>,0.6666666666666666,0.0,2,0.0,0,1
<O_ACCEPTED | 53>,A_APPROVED,<A_APPROVED | 33>,1.0,0.0,12,0.0,0,1
<O_ACCEPTED | 57>,A_APPROVED,<A_APPROVED | 79>,1.0,0.0,10,0.0,0,1
<O_ACCEPTED | 59>,A_APPROVED,<A_APPROVED | 93>,1.0,0.0,4,0.0,0,1
<O_ACCEPTED | 60>,A_APPROVED,<A_APPROVED | 34>,1.0,0.0,5,0.0,0,1
<O_ACCEPTED | 61>,A_APPROVED,<A_APPROVED | 55>,1.0,0.0,21,0.5141062959072631,1,1
<O_ACCEPTED | 64>,A_APPROVED,<A_APPROVED | 33>,1.0,0.0,24,0.5280444508660421,1,1
<O_ACCEPTED | 65>,A_APPROVED,<A_APPROVED | 65>,1.0,0.0,1,0.0,0,1
<O_ACCEPTED | 6>,A_APPROVED,<A_APPROVED | 34>,0.5,0.0,2,0.0,0,1
<O_ACCEPTED | 6>,A_APPROVED,<A_APPROVED | 93>,0.5,0.0,2,0.0,0,1
<O_ACCEPTED | 70>,A_APPROVED,<A_APPROVED | 111>,1.0,0.0,1,0.0,0,1
<O_ACCEPTED | 71>,A_APPROVED,<A_APPROVED | 108>,0.7222222222222222,0.0,13,0.5411823415800483,1,1
<O_ACCEPTED | 71>,A_APPROVED,<A_APPROVED | 33>,0.2777777777777778,0.0,5,0.5411823415800483,1,1
<O_ACCEPTED | 72>,A_APPROVED,<A_APPROVED | 69>,1.0,0.0,1,0.0,0,1
<O_ACCEPTED | 73>,A_APPROVED,<A_APPROVED | 28>,1.0,0.0,9,0.0,0,1
<O_ACCEPTED | 76>,A_APPROVED,<A_APPROVED | 34>,0.6666666666666666,0.0,2,0.0,0,1
<O_ACCEPTED | 76>,A_APPROVED,<A_APPROVED | 69>,0.3333333333333333,0.0,1,0.0,0,1
<O_ACCEPTED | 77>,A_APPROVED,<A_APPROVED | 108>,0.1428571428571428,0.0,1,0.0,0,1
<O_ACCEPTED | 77>,A_APPROVED,<A_APPROVED | 33>,0.8571428571428571,0.0,6,0.0,0,1
<O_ACCEPTED | 80>,A_APPROVED,<A_APPROVED | 108>,0.2222222222222222,0.0,4,0.5212460915878826,1,1
<O_ACCEPTED | 80>,A_APPROVED,<A_APPROVED | 55>,0.7777777777777778,0.0,14,0.5212460915878826,1,1
<O_ACCEPTED | 81>,A_APPROVED,<A_APPROVED | 28>,0.5,0.0,1,0.0,0,1
<O_ACCEPTED | 81>,A_APPROVED,<A_APPROVED | 81>,0.5,0.0,1,0.0,0,1
<O_ACCEPTED | 83>,A_APPROVED,<A_APPROVED | 93>,1.0,0.0,9,0.0,0,1
