s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,10469,0.35158155611316727,1.0,1
<A_ACCEPTED | 0>,A_DECLINED,<A_DECLINED | 48>,1.0,0.0,10,0.040193560273017764,0.9866142981514303,0
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 124>,0.0010162601626016,0.0,1,0.3553099055331552,1.0,1
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 48>,0.9989837398373984,0.0,983,0.3553099055331552,1.0,1
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.1428571428571428,0.0,2,0.2985180266812528,0.9981778976111987,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.0714285714285714,0.0,1,0.2985180266812528,0.9981778976111987,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.7857142857142857,0.0,11,0.2985180266812528,0.9981778976111987,0
<A_ACCEPTED | 131>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,82,0.3531742097006066,1.0,1
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,0.5,0.0,1,0.06889836787989788,0.4621171572600098,0
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.5,0.0,1,0.06889836787989788,0.4621171572600098,0
<A_ACCEPTED | 14>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,19,0.3531213421861063,0.9998503075449787,1
<A_ACCEPTED | 14>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,1.0,0.0,1,0.007154161918280441,0.24491866240370908,0
<A_ACCEPTED | 37>,A_DECLINED,<A_DECLINED | 124>,1.0,0.0,1,0.004620274927764324,0.24491866240370908,0
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 124>,0.2208955223880597,0.0,74,0.35483983259275365,1.0,1
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 48>,0.7791044776119403,0.0,261,0.35483983259275365,1.0,1
