s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,10469,0.39987814103445235,1,1
<A_ACCEPTED | 0>,A_DECLINED,<A_DECLINED | 48>,1.0,0.0,10,0.0407411224276392,1,0
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 124>,0.0010162601626016,0.0,1,0.3945144894913414,1,1
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 48>,0.9989837398373984,0.0,983,0.3945144894913414,1,1
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.1428571428571428,0.0,2,0.3496308743523741,1,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.0714285714285714,0.0,1,0.3496308743523741,1,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.7857142857142857,0.0,11,0.3496308743523741,1,0
<A_ACCEPTED | 131>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,82,0.4324046305325582,1,1
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,0.5,0.0,1,0.23171595279030147,1,0
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.5,0.0,1,0.23171595279030147,1,0
<A_ACCEPTED | 14>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,19,0.4324046305325582,1,1
<A_ACCEPTED | 14>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,1.0,0.0,1,0.0310294428193743,1,0
<A_ACCEPTED | 37>,A_DECLINED,<A_DECLINED | 124>,1.0,0.0,1,0.0408219594383809,1,0
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 124>,0.2208955223880597,0.0,74,0.4028542210860892,1,1
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 48>,0.7791044776119403,0.0,261,0.4028542210860892,1,1
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,0.1818181818181818,0.0,2,0.3020980158043049,1,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.0909090909090909,0.0,1,0.3020980158043049,1,0
