s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,10469,0.36876371976197647,1,1
<A_ACCEPTED | 0>,A_DECLINED,<A_DECLINED | 48>,1.0,0.0,10,0.0407411224276392,1,0
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 124>,0.0010162601626016,0.0,1,0.3716535906495526,1,1
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 48>,0.9989837398373984,0.0,983,0.3716535906495526,1,1
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.1428571428571428,0.0,2,0.31487555855695043,1,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.0714285714285714,0.0,1,0.31487555855695043,1,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.7857142857142857,0.0,11,0.31487555855695043,1,0
<A_ACCEPTED | 131>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,82,0.3735277927390825,1,1
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,0.5,0.0,1,0.0,0,0
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.5,0.0,1,0.0,0,0
<A_ACCEPTED | 14>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,19,0.3735277927390825,1,1
<A_ACCEPTED | 14>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,1.0,0.0,1,0.0,0,0
<A_ACCEPTED | 37>,A_DECLINED,<A_DECLINED | 124>,1.0,0.0,1,0.0,0,0
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 124>,0.2208955223880597,0.0,74,0.3720661080472576,1,1
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 48>,0.7791044776119403,0.0,261,0.3720661080472576,1,1
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,0.1818181818181818,0.0,2,0.2720027548365693,1,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.0909090909090909,0.0,1,0.2720027548365693,1,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.0909090909090909,0.0,1,0.2720027548365693,1,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.6363636363636364,0.0,7,0.2720027548365693,1,0
<A_ACCEPTED | 56>,A_DECLINED,<A_DECLINED | 48>,1.0,0.0,9,0.0407411224276392,1,0
<A_ACCEPTED | 56>,O_SELECTED,<O_SELECTED | 48>,1.0,0.0,2567,0.371651684035016,1,1
<A_ACCEPTED | 56>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.1379310344827586,0.0,4,0.3154352582241039,1,0
<A_ACCEPTED | 56>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.8620689655172413,0.0,25,0.3154352582241039,1,0
<A_ACTIVATED | 111>,END,<END | 135>,0.0714285714285714,0.5300743297762837,2,0.3796046049402912,1,1
<A_ACTIVATED | 111>,END,<END | 84>,0.9285714285714286,0.3680300107221379,26,0.3796046049402912,1,1
<A_ACTIVATED | 112>,END,<END | 33>,0.4003984063745019,0.4941099690632866,201,0.4233425926840668,1,1
<A_ACTIVATED | 112>,END,<END | 53>,0.0438247011952191,1.0,22,0.4233425926840668,1,1
<A_ACTIVATED | 112>,END,<END | 73>,0.5557768924302788,0.3268884507013655,279,0.4233425926840668,1,1
<A_ACTIVATED | 112>,W_Call_missing_information,<W_Call_missing_information | 73>,1.0,0.0,1,0.0,0,0
<A_ACTIVATED | 12>,END,<END | 103>,0.7304492512479202,0.3399443064706741,439,0.47509527380733185,1,1
<A_ACTIVATED | 12>,END,<END | 3>,0.0632279534109817,0.3944514530204065,38,0.47509527380733185,1,1
<A_ACTIVATED | 12>,END,<END | 53>,0.1996672212978369,0.9999999999999972,120,0.47509527380733185,1,1
<A_ACTIVATED | 12>,END,<END | 73>,0.0066555740432612,0.3268884507013666,4,0.47509527380733185,1,1
<A_ACTIVATED | 12>,W_Assess_application,<W_Assess_application | 103>,1.0,0.0,2,0.0,0,0
<A_ACTIVATED | 139>,END,<END | 21>,0.9411764705882352,0.3783272303662036,16,0.3824817716662305,1,1
<A_ACTIVATED | 139>,END,<END | 83>,0.0588235294117647,0.4489544324666613,1,0.3824817716662305,1,1
<A_ACTIVATED | 22>,END,<END | 33>,0.2478632478632478,0.4941099690632863,29,0.46014683042650883,1,1
<A_ACTIVATED | 22>,END,<END | 83>,0.7521367521367521,0.4489544324666618,88,0.46014683042650883,1,1
<A_ACTIVATED | 36>,A_REGISTERED,<A_REGISTERED | 36>,1.0,0.0,1,0.0,0,1
<A_ACTIVATED | 69>,END,<END | 21>,0.0588235294117647,0.3783272303662034,2,0.6367433831853315,1,1
<A_ACTIVATED | 69>,END,<END | 27>,0.9411764705882352,0.652894392736527,32,0.6367433831853315,1,1
<A_ACTIVATED | 72>,END,<END | 3>,0.7318181818181818,0.3944514530204063,161,0.4247093837704715,1,1
<A_ACTIVATED | 72>,END,<END | 53>,0.059090909090909,1.0,13,0.4247093837704715,1,1
<A_ACTIVATED | 72>,END,<END | 84>,0.209090909090909,0.3680300107221379,46,0.4247093837704715,1,1
<A_ACTIVATED | 72>,W_Call_after_offer,<W_Call_after_offer | 84>,1.0,0.0,1,0.0,0,0
<A_ACTIVATED | 79>,END,<END | 135>,0.9387755102040816,0.5300743297762833,138,0.5343387749735757,1,1
<A_ACTIVATED | 79>,END,<END | 21>,0.0068027210884353,0.3783272303662034,1,0.5343387749735757,1,1
<A_ACTIVATED | 79>,END,<END | 27>,0.0476190476190476,0.6528943927365275,7,0.5343387749735757,1,1
<A_ACTIVATED | 79>,END,<END | 83>,0.0068027210884353,0.4489544324666613,1,0.5343387749735757,1,1
<A_ACTIVATED | 9>,END,<END | 101>,0.9346733668341708,0.4882722350195552,186,0.48969176030077555,1,1
<A_ACTIVATED | 9>,END,<END | 135>,0.0351758793969849,0.5300743297762837,7,0.48969176030077555,1,1
<A_ACTIVATED | 9>,END,<END | 33>,0.0251256281407035,0.494109969063286,5,0.48969176030077555,1,1
<A_ACTIVATED | 9>,END,<END | 83>,0.0050251256281407,0.4489544324666613,1,0.48969176030077555,1,1
<A_ACTIVATED | 9>,W_Call_missing_information,<W_Call_missing_information | 88>,1.0,0.0,1,0.0,0,0
<A_APPROVED | 108>,A_REGISTERED,<A_REGISTERED | 46>,0.9591836734693876,0.0,141,0.5354379642711731,1,1
<A_APPROVED | 108>,A_REGISTERED,<A_REGISTERED | 70>,0.0408163265306122,0.0,6,0.5354379642711731,1,1
<A_APPROVED | 119>,A_REGISTERED,<A_REGISTERED | 125>,0.6944444444444444,0.0,25,0.4580703613062117,1,1
<A_APPROVED | 119>,A_REGISTERED,<A_REGISTERED | 139>,0.1944444444444444,0.0,7,0.4580703613062117,1,1
<A_APPROVED | 119>,A_REGISTERED,<A_REGISTERED | 70>,0.1111111111111111,0.0,4,0.4580703613062117,1,1
<A_APPROVED | 134>,A_REGISTERED,<A_REGISTERED | 30>,1.0,0.0,1,0.0,0,1
<A_APPROVED | 18>,A_REGISTERED,<A_REGISTERED | 107>,0.0346534653465346,0.0,7,0.4869895476654396,1,1
<A_APPROVED | 18>,A_REGISTERED,<A_REGISTERED | 125>,0.0198019801980198,0.0,4,0.4869895476654396,1,1
<A_APPROVED | 18>,A_REGISTERED,<A_REGISTERED | 30>,0.9405940594059404,0.0,190,0.4869895476654396,1,1
<A_APPROVED | 18>,A_REGISTERED,<A_REGISTERED | 46>,0.0049504950495049,0.0,1,0.4869895476654396,1,1
<A_APPROVED | 29>,A_REGISTERED,<A_REGISTERED | 41>,0.9696969696969696,0.0,608,0.47225428511271056,1,1
<A_APPROVED | 29>,A_REGISTERED,<A_REGISTERED | 96>,0.0303030303030303,0.0,19,0.47225428511271056,1,1
<A_APPROVED | 36>,A_ACTIVATED,<A_ACTIVATED | 36>,1.0,0.0,1,0.0,0,1
<A_APPROVED | 44>,A_REGISTERED,<A_REGISTERED | 70>,1.0,0.0,35,0.5982127453284716,1,1
<A_APPROVED | 47>,A_REGISTERED,<A_REGISTERED | 107>,0.7910447761194029,0.0,159,0.43790184376889946,1,1
<A_APPROVED | 47>,A_REGISTERED,<A_REGISTERED | 125>,0.2039800995024875,0.0,41,0.43790184376889946,1,1
