s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,22496,0.6783908862666221,1.0,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 15>,0.9838082901554404,0.0,1519,0.6150012434812812,0.9999999999999925,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 59>,0.0161917098445595,0.0,25,0.6150012434812812,0.9999999999999925,1
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 15>,0.8125,0.0,26,0.17019630883774564,0.3311203306551448,0
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 59>,0.1875,0.0,6,0.17019630883774564,0.3311203306551448,0
<A_Accepted | 36>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,14794,0.6144230366650331,1.0,1
<A_Accepted | 36>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 59>,1.0,0.0,2,3.645227978907528e-05,0.021502061679769424,0
<A_Accepted | 36>,W_Completeapplication,<W_Completeapplication | 59>,1.0,0.0,4,0.0033890177983175477,0.042984250079107444,0
<A_Accepted | 36>,W_Shortenedcompletion,<W_Shortenedcompletion | 59>,1.0,0.0,4,0.0011352351329959821,0.042984250079107444,0
<A_Accepted | 84>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,1,0.0066064447078952645,0.010752273781519883,1
<A_Accepted | 8>,O_CreateOffer,<O_CreateOffer | 17>,1.0,0.0,6114,0.6790570776971913,1.0,1
<A_Accepted | 8>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 17>,1.0,0.0,1,8.441251171499528e-07,0.010752273781519883,0
<A_Cancelled | 10>,END,<END | 10>,1.0,0.0427817388124702,2,0.0009198955867135198,0.021502061679769424,0
<A_Cancelled | 10>,O_Cancelled,<O_Cancelled | 10>,1.0,0.0,28,0.0036551494065106575,0.2922963221743794,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 12>,0.7058823529411765,0.0,12,0.001699266482275561,0.1807865535105243,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 33>,0.0588235294117647,0.0,1,0.001699266482275561,0.1807865535105243,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 45>,0.1764705882352941,0.0,3,0.001699266482275561,0.1807865535105243,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 62>,0.0588235294117647,0.0,1,0.001699266482275561,0.1807865535105243,1
<A_Cancelled | 13>,O_Cancelled,<O_Cancelled | 13>,1.0,0.0,15,0.0011118107513444942,0.15990609216427576,1
<A_Cancelled | 18>,END,<END | 18>,0.25,0.0410873162110449,1,0.0005882120652199515,0.042984250079107444,1
<A_Cancelled | 18>,END,<END | 62>,0.75,0.0045500447621711,3,0.0005882120652199515,0.042984250079107444,1
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 18>,0.4,0.0,2,0.00028595108378049556,0.05371169947195353,0
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 62>,0.6,0.0,3,0.00028595108378049556,0.05371169947195353,0
<A_Cancelled | 19>,END,<END | 24>,1.0,0.0140098271870341,1,0.0001506374975467712,0.010752273781519883,1
<A_Cancelled | 19>,O_Cancelled,<O_Cancelled | 19>,1.0,0.0,2,6.477284679178852e-06,0.021502061679769424,0
<A_Cancelled | 1>,O_Cancelled,<O_Cancelled | 1>,1.0,0.0,3,4.731415355975772e-06,0.03224688010985255,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 34>,0.9906542056074766,0.0,106,0.01906088347090819,0.8179321062781821,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 82>,0.0093457943925233,0.0,1,0.01906088347090819,0.8179321062781821,1
<A_Cancelled | 26>,O_Cancelled,<O_Cancelled | 26>,1.0,0.0,12,0.00044249159933491263,0.12832089523249735,1
<A_Cancelled | 28>,O_Cancelled,<O_Cancelled | 28>,1.0,0.0,91,0.0025758989875194842,0.7524135007766891,1
<A_Cancelled | 2>,END,<END | 24>,1.0,0.0140098271870341,31,0.00450433789124845,0.32151273753163434,0
<A_Cancelled | 2>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,3322,0.023493930302753943,1.0,1
<A_Cancelled | 33>,END,<END | 62>,1.0,0.0045500447621711,1,4.8923327001034194e-05,0.010752273781519883,0
<A_Cancelled | 33>,O_Cancelled,<O_Cancelled | 33>,1.0,0.0,8,0.00024015434898498185,0.08580995376142264,1
<A_Cancelled | 3>,END,<END | 3>,1.0,0.0427978770460862,5,0.0022987467099370006,0.05371169947195353,0
<A_Cancelled | 3>,O_Cancelled,<O_Cancelled | 3>,1.0,0.0,30,0.16239943657898726,0.31183848721073004,1
<A_Cancelled | 41>,END,<END | 62>,1.0,0.0045500447621711,8,0.0003904391306543054,0.08580995376142264,0
<A_Cancelled | 41>,O_Cancelled,<O_Cancelled | 41>,1.0,0.0,51,0.008545235908675916,0.49931039763557605,1
<A_Cancelled | 45>,END,<END | 62>,1.0,0.0045500447621711,2,9.783534312191479e-05,0.021502061679769424,0
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 45>,0.8571428571428571,0.0,30,0.0048803076390235576,0.35952831212072156,1
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 62>,0.1428571428571428,0.0,5,0.0048803076390235576,0.35952831212072156,1
<A_Cancelled | 46>,END,<END | 46>,1.0,0.0263238087787928,1,0.0002830407989619568,0.010752273781519883,0
<A_Cancelled | 46>,O_Cancelled,<O_Cancelled | 46>,1.0,0.0,14,0.003923684869381682,0.14941070829399805,1
<A_Cancelled | 47>,O_Cancelled,<O_Cancelled | 47>,1.0,0.0,30,0.00785413845823792,0.31183848721073004,1
<A_Cancelled | 48>,END,<END | 62>,1.0,0.0045500447621711,11,0.0005356815922974302,0.11773105986804056,0
<A_Cancelled | 48>,O_Cancelled,<O_Cancelled | 62>,1.0,0.0,31,0.001434454505349669,0.32151273753163434,1
<A_Cancelled | 49>,O_Cancelled,<O_Cancelled | 49>,1.0,0.0,48,0.0011610969837404033,0.47470686896539205,1
<A_Cancelled | 4>,O_Cancelled,<O_Cancelled | 4>,1.0,0.0,3,1.4699620043599217e-05,0.03224688010985255,1
<A_Cancelled | 50>,O_Cancelled,<O_Cancelled | 46>,0.5384615384615384,0.0,7,0.0022106520224685526,0.1388815483923611,1
<A_Cancelled | 50>,O_Cancelled,<O_Cancelled | 50>,0.4615384615384615,0.0,6,0.0022106520224685526,0.1388815483923611,1
<A_Cancelled | 52>,END,<END | 62>,1.0,0.0045500447621711,3,0.00014672474794019403,0.03224688010985255,0
<A_Cancelled | 52>,O_Cancelled,<O_Cancelled | 52>,0.1666666666666666,0.0,1,0.0002768713003437282,0.0644267653212568,1
<A_Cancelled | 52>,O_Cancelled,<O_Cancelled | 62>,0.8333333333333334,0.0,5,0.0002768713003437282,0.0644267653212568,1
<A_Cancelled | 5>,O_Cancelled,<O_Cancelled | 5>,1.0,0.0,9,0.0032423237759469027,0.09647321632576,1
<A_Cancelled | 61>,O_Cancelled,<O_Cancelled | 61>,0.9285714285714286,0.0,13,0.00044250566178914664,0.14941070829399805,1
<A_Cancelled | 61>,O_Cancelled,<O_Cancelled | 62>,0.0714285714285714,0.0,1,0.00044250566178914664,0.14941070829399805,1
<A_Cancelled | 63>,O_Cancelled,<O_Cancelled | 63>,1.0,0.0,28,0.00069201403538421,0.2922963221743794,1
<A_Cancelled | 64>,O_Cancelled,<O_Cancelled | 64>,1.0,0.0,2,1.1661258756248313e-05,0.021502061679769424,1
<A_Cancelled | 68>,O_Cancelled,<O_Cancelled | 68>,1.0,0.0,5,9.730475837741675e-05,0.05371169947195353,1
<A_Cancelled | 70>,END,<END | 70>,1.0,0.042791512708618,2,0.0009201057456313414,0.021502061679769424,0
<A_Cancelled | 70>,O_Cancelled,<O_Cancelled | 70>,1.0,0.0,11,0.019574160665951894,0.11773105986804056,1
<A_Cancelled | 71>,END,<END | 24>,1.0,0.0140098271870341,15,0.002240256717375451,0.15990609216427576,0
<A_Cancelled | 71>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,1103,0.023493930300407913,0.9999999999001431,1
<A_Cancelled | 72>,O_Cancelled,<O_Cancelled | 46>,0.0478260869565217,0.0,11,0.05968161731382635,0.9858801594294955,1
<A_Cancelled | 72>,O_Cancelled,<O_Cancelled | 72>,0.9521739130434784,0.0,219,0.05968161731382635,0.9858801594294955,1
<A_Cancelled | 73>,O_Cancelled,<O_Cancelled | 73>,1.0,0.0,3,9.178415351676285e-05,0.03224688010985255,1
<A_Cancelled | 75>,END,<END | 75>,1.0,0.0423837334405656,1,0.00045572150583592097,0.010752273781519883,0
<A_Cancelled | 75>,O_Cancelled,<O_Cancelled | 75>,1.0,0.0,14,0.0007333343594687475,0.14941070829399805,1
<A_Cancelled | 76>,O_Cancelled,<O_Cancelled | 76>,1.0,0.0,15,0.00011986779559014118,0.15990609216427576,1
<A_Cancelled | 7>,END,<END | 38>,0.8666666666666667,0.0236232151684553,13,0.0038350748713772476,0.15990609216427576,0
<A_Cancelled | 7>,END,<END | 46>,0.1333333333333333,0.0263238087787928,2,0.0038350748713772476,0.15990609216427576,0
<A_Cancelled | 7>,O_Cancelled,<O_Cancelled | 38>,0.8652173913043478,0.0,199,0.0236638592175306,0.9858801594294955,1
<A_Cancelled | 7>,O_Cancelled,<O_Cancelled | 46>,0.1347826086956521,0.0,31,0.0236638592175306,0.9858801594294955,1
<A_Cancelled | 80>,O_Cancelled,<O_Cancelled | 80>,1.0,0.0,1,4.863077036612103e-06,0.010752273781519883,1
<A_Cancelled | 82>,END,<END | 46>,1.0,0.0263238087787928,1,0.0002830407989619568,0.010752273781519883,0
<A_Cancelled | 82>,O_Cancelled,<O_Cancelled | 46>,0.1428571428571428,0.0,2,0.0009632176123021985,0.14941070829399805,1
<A_Cancelled | 82>,O_Cancelled,<O_Cancelled | 82>,0.8571428571428571,0.0,12,0.0009632176123021985,0.14941070829399805,1
<A_Cancelled | 83>,END,<END | 83>,1.0,0.0428039353309419,2,0.0009203728576227744,0.021502061679769424,0
<A_Cancelled | 83>,O_Cancelled,<O_Cancelled | 83>,1.0,0.0,23,0.09808936783272612,0.24239008208229895,1
<A_Cancelled | 87>,O_Cancelled,<O_Cancelled | 87>,1.0,0.0,4,0.007360623268870396,0.042984250079107444,1
<A_Cancelled | 88>,O_Cancelled,<O_Cancelled | 62>,0.0303030303030303,0.0,1,0.0010254589504760335,0.3406597547213298,1
<A_Cancelled | 88>,O_Cancelled,<O_Cancelled | 88>,0.9696969696969696,0.0,32,0.0010254589504760335,0.3406597547213298,1
<A_Cancelled | 90>,END,<END | 24>,1.0,0.0140098271870341,7,0.0010525162319066626,0.07512699606178952,0
<A_Cancelled | 90>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,784,0.0234939280656442,0.9999999047792466,1
<A_Cancelled | 93>,END,<END | 62>,1.0,0.0045500447621711,3,0.00014672474794019403,0.03224688010985255,0
<A_Cancelled | 93>,O_Cancelled,<O_Cancelled | 93>,1.0,0.0,200,0.09015797754914895,0.9732545531614489,1
<A_Cancelled | 94>,O_Cancelled,<O_Cancelled | 34>,0.9872340425531916,0.0,1160,0.02398879041433597,0.9999999999787713,1
