s,a,s',p_r,reward,number_occurrences
<>,START,<START>,1.0,0.0,2000
<A_ACCEPTED | 37>,A_FINALIZED,<A_FINALIZED | 2>,1.0,0.0,806
<A_ACCEPTED | 95>,A_FINALIZED,<A_FINALIZED | 2>,1.0,0.0,21
<A_ACTIVATED | 10>,END,<END | 18>,0.25688073394495414,0.9231624400487739,28
<A_ACTIVATED | 10>,END,<END | 36>,0.3119266055045872,0.42589100803314706,34
<A_ACTIVATED | 10>,END,<END | 41>,0.1926605504587156,0.925602232786083,21
<A_ACTIVATED | 10>,END,<END | 72>,0.23853211009174313,0.3767198890417566,26
<A_ACTIVATED | 26>,END,<END | 18>,0.43157894736842106,0.9231624400487736,41
<A_ACTIVATED | 26>,END,<END | 36>,0.4105263157894737,0.425891008033147,39
<A_ACTIVATED | 26>,END,<END | 7>,0.15789473684210525,0.42018858292456135,15
<A_ACTIVATED | 29>,END,<END | 17>,0.02631578947368421,0.4361289612844669,1
<A_ACTIVATED | 29>,END,<END | 59>,0.8947368421052632,0.6067118670547218,34
<A_ACTIVATED | 29>,END,<END | 61>,0.07894736842105263,1.0,3
<A_ACTIVATED | 35>,END,<END | 86>,1.0,0.6452460860590913,5
<A_ACTIVATED | 54>,END,<END | 54>,1.0,0.2037146206854497,1
<A_ACTIVATED | 65>,END,<END | 17>,1.0,0.436128961284467,26
<A_ACTIVATED | 77>,END,<END | 41>,0.4946236559139785,0.9256022327860838,46
<A_ACTIVATED | 77>,END,<END | 72>,0.5053763440860215,0.37671988904175646,47
<A_ACTIVATED | 80>,END,<END | 18>,0.014925373134328358,0.9231624400487742,1
<A_ACTIVATED | 80>,END,<END | 59>,0.1044776119402985,0.6067118670547218,7
<A_ACTIVATED | 80>,END,<END | 61>,0.5074626865671642,0.9999999999999999,34
<A_ACTIVATED | 80>,END,<END | 7>,0.373134328358209,0.42018858292456135,25
<A_ACTIVATED | 89>,END,<END | 18>,0.03125,0.9231624400487742,1
<A_ACTIVATED | 89>,END,<END | 61>,0.1875,0.9999999999999998,6
<A_ACTIVATED | 89>,END,<END | 7>,0.78125,0.42018858292456135,25
<A_APPROVED | 15>,A_REGISTERED,<A_REGISTERED | 77>,1.0,0.0,8
<A_APPROVED | 19>,A_REGISTERED,<A_REGISTERED | 23>,1.0,0.0,6
<A_APPROVED | 25>,A_REGISTERED,<A_REGISTERED | 20>,0.684931506849315,0.0,50
<A_APPROVED | 25>,A_REGISTERED,<A_REGISTERED | 23>,0.0958904109589041,0.0,7
<A_APPROVED | 25>,A_REGISTERED,<A_REGISTERED | 57>,0.2191780821917808,0.0,16
<A_APPROVED | 30>,A_REGISTERED,<A_REGISTERED | 44>,0.2222222222222222,0.0,10
<A_APPROVED | 30>,A_REGISTERED,<A_REGISTERED | 57>,0.7777777777777778,0.0,35
<A_APPROVED | 39>,A_REGISTERED,<A_REGISTERED | 44>,0.03125,0.0,1
<A_APPROVED | 39>,A_REGISTERED,<A_REGISTERED | 6>,0.96875,0.0,31
<A_APPROVED | 40>,A_REGISTERED,<A_REGISTERED | 20>,0.13709677419354838,0.0,17
<A_APPROVED | 40>,A_REGISTERED,<A_REGISTERED | 23>,0.8629032258064516,0.0,107
<A_APPROVED | 63>,A_REGISTERED,<A_REGISTERED | 23>,1.0,0.0,4
<A_APPROVED | 67>,A_REGISTERED,<A_REGISTERED | 69>,1.0,0.0,6
<A_APPROVED | 75>,A_REGISTERED,<A_REGISTERED | 20>,0.7906976744186046,0.0,34
<A_APPROVED | 75>,A_REGISTERED,<A_REGISTERED | 44>,0.18604651162790697,0.0,8
<A_APPROVED | 75>,A_REGISTERED,<A_REGISTERED | 57>,0.023255813953488372,0.0,1
<A_APPROVED | 79>,A_REGISTERED,<A_REGISTERED | 23>,1.0,0.0,2
<A_APPROVED | 81>,A_REGISTERED,<A_REGISTERED | 23>,0.14634146341463414,0.0,18
<A_APPROVED | 81>,A_REGISTERED,<A_REGISTERED | 77>,0.8536585365853658,0.0,105
<A_CANCELLED | 0>,END,<END | 0>,1.0,0.08770171888008235,9
<A_CANCELLED | 12>,END,<END | 12>,1.0,0.08801280847267916,2
<A_CANCELLED | 13>,END,<END | 13>,1.0,0.08689578626947725,206
<A_CANCELLED | 15>,END,<END | 15>,1.0,0.08786570333969594,5
<A_CANCELLED | 37>,END,<END | 37>,1.0,0.08656828965777759,94
<A_CANCELLED | 95>,END,<END | 95>,1.0,0.08728483598937421,14
<A_DECLINED | 0>,END,<END | 97>,1.0,0.07017407802645947,7
<A_DECLINED | 13>,END,<END | 13>,1.0,0.08689578626947726,557
<A_DECLINED | 15>,END,<END | 38>,0.3333333333333333,0.06405142145451112,1
<A_DECLINED | 15>,END,<END | 97>,0.6666666666666666,0.07017407802645947,2
<A_DECLINED | 19>,END,<END | 97>,1.0,0.07017407802645947,1
<A_DECLINED | 24>,END,<END | 56>,1.0,0.04024455816440627,5
<A_DECLINED | 37>,END,<END | 37>,1.0,0.08656828965777759,269
<A_DECLINED | 45>,END,<END | 56>,1.0,0.04024455816440628,2
<A_DECLINED | 46>,END,<END | 38>,0.2,0.06405142145451112,1
<A_DECLINED | 46>,END,<END | 56>,0.2,0.04024455816440628,1
<A_DECLINED | 46>,END,<END | 97>,0.6,0.07017407802645947,3
<A_DECLINED | 47>,END,<END | 38>,1.0,0.06405142145451112,1
<A_DECLINED | 50>,END,<END | 38>,1.0,0.0640514214545111,190
<A_DECLINED | 51>,END,<END | 56>,1.0,0.04024455816440628,1
<A_DECLINED | 53>,END,<END | 53>,1.0,0.05006123423962967,8
<A_DECLINED | 5>,END,<END | 56>,1.0,0.04024455816440628,1
<A_DECLINED | 70>,END,<END | 56>,1.0,0.04024455816440628,2
<A_DECLINED | 73>,END,<END | 56>,1.0,0.04024455816440628,4
<A_DECLINED | 74>,END,<END | 74>,1.0,0.03281509863147568,7
<A_DECLINED | 76>,END,<END | 38>,1.0,0.06405142145451112,6
<A_DECLINED | 78>,END,<END | 78>,1.0,0.0,3
<A_DECLINED | 82>,END,<END | 56>,1.0,0.04024455816440628,1
<A_DECLINED | 84>,END,<END | 56>,1.0,0.04024455816440627,5
<A_DECLINED | 8>,END,<END | 56>,1.0,0.04024455816440628,1
<A_DECLINED | 91>,END,<END | 53>,0.5,0.05006123423962967,1
<A_DECLINED | 91>,END,<END | 56>,0.5,0.04024455816440628,1
<A_DECLINED | 93>,END,<END | 56>,1.0,0.04024455816440628,1
<A_DECLINED | 95>,END,<END | 95>,1.0,0.08728483598937421,33
<A_DECLINED | 97>,END,<END | 56>,0.015625,0.04024455816440628,1
<A_DECLINED | 97>,END,<END | 97>,0.984375,0.07017407802645945,63
<A_DECLINED | 9>,END,<END | 56>,1.0,0.04024455816440628,1
<A_FINALIZED | 2>,O_SELECTED,<O_SELECTED | 68>,1.0,0.0,827
<A_PARTLYSUBMITTED | 55>,A_DECLINED,<A_DECLINED | 13>,1.0,0.0,425
<A_PARTLYSUBMITTED | 55>,A_PREACCEPTED,<A_PREACCEPTED | 13>,1.0,0.0,882
<A_PARTLYSUBMITTED | 55>,W_Assess_fraud,<A_CANCELLED | 13>,0.14285714285714285,0.0,3
<A_PARTLYSUBMITTED | 55>,W_Assess_fraud,<W_Assess_fraud | 13>,0.8571428571428571,0.0,18
<A_PARTLYSUBMITTED | 55>,W_Fix_incomplete_submission,<A_CANCELLED | 13>,0.08932038834951456,0.0,46
<A_PARTLYSUBMITTED | 55>,W_Fix_incomplete_submission,<W_Fix_incomplete_submission | 13>,0.9106796116504854,0.0,469
<A_PREACCEPTED | 13>,W_Complete_preaccepted_appl,<A_CANCELLED | 37>,0.042907180385288964,0.0,49
<A_PREACCEPTED | 13>,W_Complete_preaccepted_appl,<O_DECLINED | 37>,0.1330998248686515,0.0,152
<A_PREACCEPTED | 13>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 87>,0.6418563922942206,0.0,733
<A_PREACCEPTED | 13>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 95>,0.18213660245183888,0.0,208
<A_PREACCEPTED | 95>,W_Complete_preaccepted_appl,<A_CANCELLED | 95>,0.09433962264150944,0.0,5
<A_PREACCEPTED | 95>,W_Complete_preaccepted_appl,<O_DECLINED | 95>,0.11320754716981132,0.0,6
<A_PREACCEPTED | 95>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 95>,0.7924528301886793,0.0,42
<A_REGISTERED | 20>,A_ACTIVATED,<A_ACTIVATED | 26>,0.39603960396039606,0.0,40
<A_REGISTERED | 20>,A_ACTIVATED,<A_ACTIVATED | 80>,0.3465346534653465,0.0,35
<A_REGISTERED | 20>,A_ACTIVATED,<A_ACTIVATED | 89>,0.25742574257425743,0.0,26
<A_REGISTERED | 23>,A_ACTIVATED,<A_ACTIVATED | 10>,0.6180555555555556,0.0,89
<A_REGISTERED | 23>,A_ACTIVATED,<A_ACTIVATED | 26>,0.3819444444444444,0.0,55
<A_REGISTERED | 44>,A_ACTIVATED,<A_ACTIVATED | 29>,0.631578947368421,0.0,12
<A_REGISTERED | 44>,A_ACTIVATED,<A_ACTIVATED | 65>,0.05263157894736842,0.0,1
<A_REGISTERED | 44>,A_ACTIVATED,<A_ACTIVATED | 89>,0.3157894736842105,0.0,6
<A_REGISTERED | 57>,A_ACTIVATED,<A_ACTIVATED | 29>,0.38461538461538464,0.0,20
<A_REGISTERED | 57>,A_ACTIVATED,<A_ACTIVATED | 80>,0.6153846153846154,0.0,32
<A_REGISTERED | 69>,A_ACTIVATED,<A_ACTIVATED | 35>,0.8333333333333334,0.0,5
<A_REGISTERED | 69>,A_ACTIVATED,<A_ACTIVATED | 54>,0.16666666666666666,0.0,1
<A_REGISTERED | 6>,A_ACTIVATED,<A_ACTIVATED | 29>,0.1935483870967742,0.0,6
<A_REGISTERED | 6>,A_ACTIVATED,<A_ACTIVATED | 65>,0.8064516129032258,0.0,25
<A_REGISTERED | 77>,A_ACTIVATED,<A_ACTIVATED | 10>,0.17699115044247787,0.0,20
<A_REGISTERED | 77>,A_ACTIVATED,<A_ACTIVATED | 77>,0.8230088495575221,0.0,93
<A_SUBMITTED | 55>,A_PARTLYSUBMITTED,<A_CANCELLED | 13>,0.0785,0.0,157
<A_SUBMITTED | 55>,A_PARTLYSUBMITTED,<A_PARTLYSUBMITTED | 55>,0.9215,0.0,1843
<O_ACCEPTED | 0>,A_APPROVED,<A_APPROVED | 81>,1.0,0.0,67
<O_ACCEPTED | 14>,A_APPROVED,<A_APPROVED | 39>,1.0,0.0,5
<O_ACCEPTED | 15>,A_APPROVED,<A_APPROVED | 15>,0.42105263157894735,0.0,8
<O_ACCEPTED | 15>,A_APPROVED,<A_APPROVED | 81>,0.5789473684210527,0.0,11
<O_ACCEPTED | 16>,A_APPROVED,<A_APPROVED | 75>,1.0,0.0,3
<O_ACCEPTED | 19>,A_APPROVED,<A_APPROVED | 19>,0.75,0.0,6
<O_ACCEPTED | 19>,A_APPROVED,<A_APPROVED | 25>,0.125,0.0,1
<O_ACCEPTED | 19>,A_APPROVED,<A_APPROVED | 81>,0.125,0.0,1
<O_ACCEPTED | 1>,A_APPROVED,<A_APPROVED | 25>,1.0,0.0,9
<O_ACCEPTED | 21>,A_APPROVED,<A_APPROVED | 25>,0.18181818181818182,0.0,2
<O_ACCEPTED | 21>,A_APPROVED,<A_APPROVED | 30>,0.8181818181818182,0.0,9
<O_ACCEPTED | 22>,A_APPROVED,<A_APPROVED | 39>,1.0,0.0,4
<O_ACCEPTED | 24>,A_APPROVED,<A_APPROVED | 40>,1.0,0.0,16
<O_ACCEPTED | 27>,A_APPROVED,<A_APPROVED | 30>,1.0,0.0,8
<O_ACCEPTED | 28>,A_APPROVED,<A_APPROVED | 67>,1.0,0.0,1
<O_ACCEPTED | 31>,A_APPROVED,<A_APPROVED | 75>,1.0,0.0,5
<O_ACCEPTED | 32>,A_APPROVED,<A_APPROVED | 67>,1.0,0.0,3
<O_ACCEPTED | 34>,A_APPROVED,<A_APPROVED | 39>,1.0,0.0,8
<O_ACCEPTED | 3>,A_APPROVED,<A_APPROVED | 67>,1.0,0.0,1
<O_ACCEPTED | 42>,A_APPROVED,<A_APPROVED | 40>,1.0,0.0,13
<O_ACCEPTED | 45>,A_APPROVED,<A_APPROVED | 25>,1.0,0.0,15
<O_ACCEPTED | 46>,A_APPROVED,<A_APPROVED | 40>,0.14285714285714285,0.0,1
<O_ACCEPTED | 46>,A_APPROVED,<A_APPROVED | 81>,0.8571428571428571,0.0,6
<O_ACCEPTED | 48>,A_APPROVED,<A_APPROVED | 25>,0.7142857142857143,0.0,5
<O_ACCEPTED | 48>,A_APPROVED,<A_APPROVED | 30>,0.2857142857142857,0.0,2
<O_ACCEPTED | 49>,A_APPROVED,<A_APPROVED | 75>,1.0,0.0,9
<O_ACCEPTED | 4>,A_APPROVED,<A_APPROVED | 30>,1.0,0.0,8
<O_ACCEPTED | 51>,A_APPROVED,<A_APPROVED | 40>,1.0,0.0,23
<O_ACCEPTED | 52>,A_APPROVED,<A_APPROVED | 39>,1.0,0.0,1
<O_ACCEPTED | 58>,A_APPROVED,<A_APPROVED | 75>,1.0,0.0,9
<O_ACCEPTED | 5>,A_APPROVED,<A_APPROVED | 40>,0.7,0.0,7
<O_ACCEPTED | 5>,A_APPROVED,<A_APPROVED | 81>,0.3,0.0,3
<O_ACCEPTED | 60>,A_APPROVED,<A_APPROVED | 81>,1.0,0.0,7
<O_ACCEPTED | 62>,A_APPROVED,<A_APPROVED | 30>,1.0,0.0,5
<O_ACCEPTED | 63>,A_APPROVED,<A_APPROVED | 25>,0.23076923076923078,0.0,3
<O_ACCEPTED | 63>,A_APPROVED,<A_APPROVED | 40>,0.15384615384615385,0.0,2
<O_ACCEPTED | 63>,A_APPROVED,<A_APPROVED | 63>,0.3076923076923077,0.0,4
<O_ACCEPTED | 63>,A_APPROVED,<A_APPROVED | 81>,0.3076923076923077,0.0,4
<O_ACCEPTED | 64>,A_APPROVED,<A_APPROVED | 25>,0.3333333333333333,0.0,2
<O_ACCEPTED | 64>,A_APPROVED,<A_APPROVED | 30>,0.3333333333333333,0.0,2
<O_ACCEPTED | 64>,A_APPROVED,<A_APPROVED | 75>,0.3333333333333333,0.0,2
<O_ACCEPTED | 66>,A_APPROVED,<A_APPROVED | 25>,1.0,0.0,11
<O_ACCEPTED | 70>,A_APPROVED,<A_APPROVED | 40>,0.7857142857142857,0.0,11
<O_ACCEPTED | 70>,A_APPROVED,<A_APPROVED | 75>,0.21428571428571427,0.0,3
<O_ACCEPTED | 71>,A_APPROVED,<A_APPROVED | 75>,1.0,0.0,3
<O_ACCEPTED | 73>,A_APPROVED,<A_APPROVED | 40>,0.7777777777777778,0.0,21
<O_ACCEPTED | 73>,A_APPROVED,<A_APPROVED | 81>,0.2222222222222222,0.0,6
<O_ACCEPTED | 79>,A_APPROVED,<A_APPROVED | 40>,0.6,0.0,3
<O_ACCEPTED | 79>,A_APPROVED,<A_APPROVED | 79>,0.4,0.0,2
<O_ACCEPTED | 82>,A_APPROVED,<A_APPROVED | 40>,0.8571428571428571,0.0,6
<O_ACCEPTED | 82>,A_APPROVED,<A_APPROVED | 75>,0.14285714285714285,0.0,1
<O_ACCEPTED | 83>,A_APPROVED,<A_APPROVED | 25>,0.3333333333333333,0.0,1
<O_ACCEPTED | 83>,A_APPROVED,<A_APPROVED | 30>,0.6666666666666666,0.0,2
<O_ACCEPTED | 84>,A_APPROVED,<A_APPROVED | 40>,1.0,0.0,15
<O_ACCEPTED | 88>,A_APPROVED,<A_APPROVED | 30>,1.0,0.0,7
<O_ACCEPTED | 90>,A_APPROVED,<A_APPROVED | 67>,1.0,0.0,1
<O_ACCEPTED | 91>,A_APPROVED,<A_APPROVED | 25>,1.0,0.0,9
<O_ACCEPTED | 92>,A_APPROVED,<A_APPROVED | 39>,1.0,0.0,7
<O_ACCEPTED | 93>,A_APPROVED,<A_APPROVED | 40>,0.05263157894736842,0.0,1
<O_ACCEPTED | 93>,A_APPROVED,<A_APPROVED | 81>,0.9473684210526315,0.0,18
<O_ACCEPTED | 94>,A_APPROVED,<A_APPROVED | 39>,1.0,0.0,1
<O_ACCEPTED | 96>,A_APPROVED,<A_APPROVED | 25>,1.0,0.0,15
<O_ACCEPTED | 99>,A_APPROVED,<A_APPROVED | 30>,0.25,0.0,2
<O_ACCEPTED | 99>,A_APPROVED,<A_APPROVED | 39>,0.75,0.0,6
<O_ACCEPTED | 9>,A_APPROVED,<A_APPROVED | 40>,0.38461538461538464,0.0,5
<O_ACCEPTED | 9>,A_APPROVED,<A_APPROVED | 75>,0.6153846153846154,0.0,8
<O_CANCELLED | 14>,O_SELECTED,<O_SELECTED | 92>,1.0,0.0,2
<O_CANCELLED | 15>,O_SELECTED,<O_SELECTED | 15>,1.0,0.0,1
<O_CANCELLED | 16>,O_SELECTED,<O_SELECTED | 21>,0.5,0.0,2
<O_CANCELLED | 16>,O_SELECTED,<O_SELECTED | 4>,0.25,0.0,1
<O_CANCELLED | 16>,O_SELECTED,<O_SELECTED | 88>,0.25,0.0,1
<O_CANCELLED | 1>,O_SELECTED,<O_SELECTED | 1>,1.0,0.0,2
<O_CANCELLED | 21>,O_SELECTED,<O_SELECTED | 21>,0.42857142857142855,0.0,3
<O_CANCELLED | 21>,O_SELECTED,<O_SELECTED | 4>,0.14285714285714285,0.0,1
<O_CANCELLED | 21>,O_SELECTED,<O_SELECTED | 62>,0.42857142857142855,0.0,3
