s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,2000,0.4377667796208632,1.0,1
<A_ACCEPTED | 22>,A_FINALIZED,<A_FINALIZED | 24>,1.0,0.0,355,0.49567413139404026,1.0,1
<A_ACCEPTED | 2>,A_FINALIZED,<A_FINALIZED | 62>,1.0,0.0,183,0.455367559910768,1.0,1
<A_ACCEPTED | 38>,A_FINALIZED,<A_FINALIZED | 89>,1.0,0.0,132,0.4279073278159668,1.0,1
<A_ACCEPTED | 94>,A_FINALIZED,<A_FINALIZED | 24>,1.0,0.0,137,0.49567413139404026,1.0,1
<A_ACTIVATED | 13>,END,<END | 37>,0.1475409836065573,1.0,9,0.611825666348039,0.9999999999998865,1
<A_ACTIVATED | 13>,END,<END | 40>,0.819672131147541,0.5500729655589454,50,0.611825666348039,0.9999999999998865,1
<A_ACTIVATED | 13>,END,<END | 50>,0.0163934426229508,0.4430976260818071,1,0.611825666348039,0.9999999999998865,1
<A_ACTIVATED | 13>,END,<END | 75>,0.0163934426229508,0.3746197432055479,1,0.611825666348039,0.9999999999998865,1
<A_ACTIVATED | 32>,END,<END | 14>,0.0714285714285714,0.8317061336838231,3,0.4633406388069623,0.9999999984834879,1
<A_ACTIVATED | 32>,END,<END | 50>,0.0238095238095238,0.4430976260818071,1,0.4633406388069623,0.9999999984834879,1
<A_ACTIVATED | 32>,END,<END | 51>,0.5714285714285714,0.3474215719859647,24,0.4633406388069623,0.9999999984834879,1
<A_ACTIVATED | 32>,END,<END | 67>,0.1428571428571428,0.9010013100032448,6,0.4633406388069623,0.9999999984834879,1
<A_ACTIVATED | 32>,END,<END | 6>,0.1904761904761904,0.3472456555735396,8,0.4633406388069623,0.9999999984834879,1
<A_ACTIVATED | 35>,END,<END | 37>,0.1666666666666666,0.9999999999999998,13,0.4788497860046232,1.0,1
<A_ACTIVATED | 35>,END,<END | 75>,0.8333333333333334,0.3746197432055479,65,0.4788497860046232,1.0,1
<A_ACTIVATED | 3>,END,<END | 14>,0.6086956521739131,0.8317061336838228,42,0.6588204278997223,0.9999999999999979,1
<A_ACTIVATED | 3>,END,<END | 51>,0.3333333333333333,0.3474215719859647,23,0.6588204278997223,0.9999999999999979,1
<A_ACTIVATED | 3>,END,<END | 58>,0.0579710144927536,0.6340639386707977,4,0.6588204278997223,0.9999999999999979,1
<A_ACTIVATED | 45>,END,<END | 67>,0.323943661971831,0.9010013100032443,46,0.5266312901071057,1.0,1
